 published_at , author ,source_name,title ,description
2022-01-06T20:17:00Z,Shilpa Mete,Zacks.com,Amazon (AMZN) Enters Multi-Year Agreements with Stellantis,Amazon's (AMZN) technology products and solutions are selected by Stellantis to deepen its push toward a sustainable mobility tech company.
2022-01-11T20:18:00Z,Shilpa Mete,Zacks.com,Amazon (AMZN) Boosts AWS Portfolio with New EC2 Instances,"Amazon's (AMZN) AWS announces the general availability of purpose-built Amazon EC2 instances, Hpc6a, which are designed for HPC workloads."
2022-01-10T16:31:00Z,Sheraz Mian,Zacks.com,"Top Analyst Reports for Amazon, Berkshire Hathaway & Linde","Today's Research Daily features new research reports on 16 major stocks, including Amazon.com, Inc. (AMZN), Berkshire Hathaway Inc. (BRK.B), and Linde plc (LIN)."
2021-12-31T15:24:00Z,Zacks Equity Research,Zacks.com,"Amazon (AMZN) Buys Westborough Property, Expands Presence","Amazon (AMZN) purchases a $65-million property in Westborough, MA, to expand its presence by building a 221,000-square-foot last-mile fulfillment center."
2022-01-03T21:41:00Z,noreply@blogger.com (Unknown),Blogspot.com,Apple has become the world's first $3 trillion company,"<table><tr><td></td></tr><tr><td>Apple CEO Tim Cook greets fans outside the Apple Store on Fifth Ave in the Manhattan borough of New York, New York, U.S., September 20, 2019. REUTERS/Carlo Allegri</td></tr>
</table>Apple has taken another important step. The…"
2022-01-06T18:06:32Z,Aditi Ganguly,StockNews.com,Is Amazon a Good E-Commerce Stock to Buy in 2022?,"E-commerce giant (AMZN) has been one of the pandemic’s biggest winners because demand for online shopping skyrocketed over the past 20 months. However, its stock is the worst-performing among the..."
2022-01-04T20:21:51Z,Dipanjan Banchur,StockNews.com,These are the 2 Worst Performing FAANG Stocks of 2021,"The FAANG stocks are known for their market dominance and generating steady returns irrespective of market conditions. However, FAANG components Amazon (AMZN) and Netflix (NFLX) underperformed the market last year...."
2022-01-25T20:26:26Z,Sweta Vijayan,StockNews.com,"5 Mega-Cap Stocks with More Than 40% Upside, According to Wall Street","Amid the current, dizzying market volatility, investing in fundamentally sound mega-cap stocks could offer some stability to one’s portfolio returns. Analysts believe the shares of Amazon.com (AMZN), NVIDIA (NVDA), Walt..."
2022-01-03T19:53:39Z,Nimesh Jaiswal,StockNews.com,Better Buy for 2022: Amazon vs. Walmart,"The COVID-19 pandemic accelerated the pace at which brick-and-mortar retailers adopted online platforms. In addition, as the economy is reopening, retailers are expected to benefit not only from their online..."
2022-01-17T21:25:17Z,"Sara Ashley O'Brien, CNN Business",CNN,Parents of worker killed in tornado that hit Amazon facility are suing the company for wrongful death,"The parents of Austin McEwen, one of the six victims killed after a tornado pummeled an Amazon warehouse in Edwardsville, Illinois, last month, said Monday during a press conference that they are suing Amazon over the alleged wrongful death of their son."
2022-01-24T17:58:00Z,Zacks Equity Research,Zacks.com,Momentum in Azure Cloud to Aid Microsoft's (MSFT) Q2 Earnings,Microsoft's (MSFT) fiscal second-quarter performance is likely to reflect momentum in the Azure cloud platform due to rapid digital transformation.
2022-01-11T11:20:10Z,Zacks Equity Research,Zacks.com,Should iShares Russell Top 200 Growth ETF (IWY) Be on Your Investing Radar?,Style Box ETF report for IWY
2022-01-25T11:20:08Z,Zacks Equity Research,Zacks.com,Should Vanguard LargeCap ETF (VV) Be on Your Investing Radar?,Style Box ETF report for VV
2022-01-03T11:20:10Z,Zacks Equity Research,Zacks.com,Should Vanguard Russell 1000 Growth ETF (VONG) Be on Your Investing Radar?,Style Box ETF report for VONG
2022-01-24T11:20:11Z,Zacks Equity Research,Zacks.com,Should Vanguard S&P 500 Growth ETF (VOOG) Be on Your Investing Radar?,Style Box ETF report for VOOG
2022-01-06T11:20:10Z,Zacks Equity Research,Zacks.com,Should Invesco S&P 500 Revenue ETF (RWL) Be on Your Investing Radar?,Style Box ETF report for RWL
2022-01-06T20:24:00Z,Shilpa Mete,Zacks.com,Garmin (GRMN) Boosts Fitness Tracking Efforts with New Watch,Garmin (GRMN) rolls out a GPS smartwatch called Venu 2 Plus to expand its offerings in the fitness tracker market.
2022-01-04T11:20:10Z,Zacks Equity Research,Zacks.com,Should Vanguard Mega Cap Growth ETF (MGK) Be on Your Investing Radar?,Style Box ETF report for MGK
2022-01-05T10:45:00Z,Zacks Equity Research,Zacks.com,"The Zacks Analyst Blog Highlights: Apple, Alphabet, Microsoft, Amazon and Meta Platforms.","Apple, Alphabet, Microsoft, Amazon and Meta Platforms. are highlighted in this analyst blog."
2022-01-11T16:09:00Z,Zacks Equity Research,Zacks.com,Apple (AAPL) Reportedly Discussing Streaming Deal with MLB,Apple (AAPL) is reportedly discussing a deal with Major League Baseball to stream weekday national games via its Apple TV+ streaming service.
