 published_at , author ,source_name,title ,description
2022-01-04T22:45:00Z,WIRED Staff,Wired,Join WIRED HQ at CES (Virtually),"We're not in Las Vegas, but we've still got a packed day of conversations about the latest from one of the world's biggest technology showcases."
2022-01-09T22:09:30Z,Jon Fingas,Engadget,Breakthrough could help you 3D print OLED screens at home,You might not have to send your devices in (or buy replacement parts) if the display breaks — you could just make new screens yourself. University of Minnesota Twin Cities researchers have developed what they say is the first fully 3D-printed flexible OLED di…
2022-01-24T20:35:22Z,Jon Fingas,Engadget,James Webb Space Telescope arrives at its final orbit,The James Webb Space Telescope has reached its new home. NASA has confirmed the remote observatory successfully entered its final orbit around the second Sun-Earth Lagrange point (aka L2) after one last course correction burn. The telescope's primary mirror s…
2022-01-24T21:21:22Z,Jon Fingas,Engadget,Apple's MacBook Air M1 drops to $850 at Amazon,"Don't worry about paying full price for the MacBook Air M1. Amazon is selling Apple's well-known ultraportable laptop in gold and silver for $850 after a $49 automatic discount at checkout. That's the lowest price we've seen in a while, and not much more than…"
2021-12-30T21:14:19Z,Jon Fingas,Engadget,Unfinished 'Halo Infinite' cutscene hints at a future storyline,"Caution: Major 'Halo Infinite' story spoilers follow.There's more to Halo Infinite's story than it appears — unofficially, at least. Windows Centralnotes fans have discovered an unfinished mid-credit cutscene hidden in the game's code. As you can see below, i…"
2021-12-29T10:55:43Z,Mariella Moon,Engadget,Samsung's Galaxy Buds Pro are just $125 at Amazon,"Samsung is giving you one last chance to grab the Galaxy Buds Pro at a discount from Amazon before the year ends. The earbuds, which we called Samsung's best ones yet when we reviewed them in January, are currently available for $125. That's $75 less than the…"
2022-01-10T13:40:59Z,Valentina Palladino,Engadget,The 2020 MacBook Pro M1 is $150 off at Amazon,"While we consider Apple's MacBook Air M1 to be the best in the company's lineup for most people, there are some who will want a beefier machine. That's where the MacBook Pro M1 comes in, and Amazon has the 2020 model for a bit less than usual. The 13-inch lap…"
2022-01-21T14:05:53Z,Valentina Palladino,Engadget,Samsung's 1TB T7 Touch SSD is $50 off at Amazon,"Samsung's handy T7 Touch portable SSD is cheaper right now than it was during the holiday shopping season just a couple of months ago. The 1TB black model is down to a new low of $140, which is $50 off and the best price we've seen it. Most other versions are…"
2022-01-21T19:24:00Z,Medea Giordano,Wired,How to Order Free At-Home Covid-19 Tests,"The US government is finally sending 4 at-home tests to every household. Here's how to get yours, and how to troubleshoot common problems."
2022-01-08T12:00:00Z,Simon Hill,Wired,Distance Wireless Charging Made a Minor Comeback at CES 2022,"The potential of truly wire-free power is exciting, but tangible products remain elusive."
2022-01-18T18:17:14Z,https://www.facebook.com/bbcnews,BBC News,AT&T agrees another 5G delay at US airports,"Airlines have pushed for postponement, saying risks from 5G will force them to cancel flights."
2022-01-18T13:00:00Z,Gregory Barber,Wired,The US Inches Toward Building EV Batteries at Home,"In an effort to reduce dependency on hard-to-source cobalt and Chinese manufacturing, US makers are finally getting into the cathode business."
2022-01-21T12:46:41Z,Alice Newcome-Beill,The Verge,The PlayStation 5 is in stock at Target,"If you’re still on the hunt for a PS5, Target has just restocked Sony’s next-gen console. Currently, the disc edition consoles are available for $499.99, while they last."
2022-01-05T16:09:27Z,Cameron Faulkner,The Verge,The PS5 is available right now at Best Buy,Best Buy is hosting a PlayStation 5 restock event. The $499.99 disc version is available now.
2022-01-27T01:12:50Z,Mitchell Clark,The Verge,A union election is moving forward at Amazon’s JFK8 warehouse,The National Labor Relations Board has determined that the Amazon Labor Union has gotten enough signatures to move forward with an election to unionize the retail giant’s JFK8 facility.
2022-01-07T22:09:11Z,Clay Risen,New York Times,"Lani Guinier, Legal Scholar at the Center of Controversy, Dies at 71",President Bill Clinton pulled her nomination as assistant attorney general in 1993 after she came under criticism for her views on voting rights.
2022-01-18T17:00:00Z,Jeff Somers,Lifehacker.com,How to Order Good Wine at a Restaurant Without Sounding Like a Moron,"We’ve all been there: You head out to a nice restaurant with some friends, settle into your chairs in anticipation...and then the wine list drops in front of you, and suddenly you’re living that dream where you show up for your algebra test naked and everyone…"
2022-01-06T11:07:00Z,noreply@blogger.com (Unknown),Blogspot.com,$315M Powerball winning ticket sold at a Sacramento 7-Eleven,"<table><tr><td></td></tr><tr><td>Image Credit: (Renee Schiavone/Patch)</td></tr>
</table>The winning ticket for the last Powerball was sold at a  convenience store in Sacramento. According to the lottery site, the ticket was sold at 7 Eleven on Wyndham Drive…"
2022-01-02T09:45:00Z,noreply@blogger.com (Unknown),Blogspot.com,"US officials ask AT&T, Verizon to delay 5G wireless",US Secretary of Transportation  Pete Buttigieg and the head of the Federal Aviation Administration (FAA) called on  AT&T and Verizon Communications on Friday to postpone the planned  introduction of the new 5G radio service for January 5th due to aviation saf…
2022-01-19T17:32:03Z,Guy Trebay,New York Times,Designer Ervin Latimer Debuts at Pitti Uomo,"Inspired by American drag ball culture, the young Finnish designer Ervin Latimer staged a raucous, gender-ambivalent throwdown for his Pitti Uomo debut."
