 published_at , author ,source_name,title ,description
2021-12-30T16:41:47Z,Richard Lawler,The Verge,Amazon has PS5 consoles in stock again,"Sony’s PS5 is one of the most desirable consoles right now. If you want another chance to buy this gadget, Amazon has the console in stock right now, for Prime subscribers only, while supplies last."
2022-01-24T21:21:22Z,Jon Fingas,Engadget,Apple's MacBook Air M1 drops to $850 at Amazon,"Don't worry about paying full price for the MacBook Air M1. Amazon is selling Apple's well-known ultraportable laptop in gold and silver for $850 after a $49 automatic discount at checkout. That's the lowest price we've seen in a while, and not much more than…"
2022-01-27T01:01:45Z,Bryan Menegus,Engadget,Amazon workers in Staten Island reach union vote threshold,"Workers at JFK8, an Amazon Fulfillment Center in Staten Island, New York, have reportedly collected enough signatures to proceed with a union election vote. A National Labor Relations Board spokesperson, speaking to Reuters, confirmed that the workers had ""re…"
2022-01-07T21:30:33Z,Bryan Menegus,Engadget,Amazon cuts paid COVID-19 leave for workers in half,"Amazon, the second-largest employer in the US, announced today that it would be slashing its paid leave policies for workers forced to quarantine in half. The policy, instituted in March of 2020, previously provided for up to 14 days of paid leave; the new po…"
2022-01-17T11:33:42Z,Steve Dent,Engadget,Amazon sale slashes Fire tablets by up to 50 percent,"If you've been waiting for a sale to buy one of Amazon's Fire HD tablets, today might be the day. You can currently pick up some key products on sale, with the best deals on the Fire HD 8 and Fire HD 8 Plus, available at all-time low discounts of 50 percent. …"
2022-01-21T14:05:53Z,Valentina Palladino,Engadget,Samsung's 1TB T7 Touch SSD is $50 off at Amazon,"Samsung's handy T7 Touch portable SSD is cheaper right now than it was during the holiday shopping season just a couple of months ago. The 1TB black model is down to a new low of $140, which is $50 off and the best price we've seen it. Most other versions are…"
2021-12-29T10:55:43Z,Mariella Moon,Engadget,Samsung's Galaxy Buds Pro are just $125 at Amazon,"Samsung is giving you one last chance to grab the Galaxy Buds Pro at a discount from Amazon before the year ends. The earbuds, which we called Samsung's best ones yet when we reviewed them in January, are currently available for $125. That's $75 less than the…"
2022-01-10T13:40:59Z,Valentina Palladino,Engadget,The 2020 MacBook Pro M1 is $150 off at Amazon,"While we consider Apple's MacBook Air M1 to be the best in the company's lineup for most people, there are some who will want a beefier machine. That's where the MacBook Pro M1 comes in, and Amazon has the 2020 model for a bit less than usual. The 13-inch lap…"
2022-01-16T16:05:56Z,Jon Fingas,Engadget,Amazon Kindle is back on sale for $50 today only,"Now is a good opportunity to buy one of the best no-frills e-readers available. Amazon is selling the latest generation of its standard Kindle reader for just $50 during a one-day sale, or $70 for a version without ads. Those are the lowest prices we've seen …"
2022-01-25T12:08:28Z,Jon Porter,The Verge,Amazon brings Just Walk Out convenience to the suburbs,Amazon is bringing its cashierless Just Walk Out technology to a new format of stores aimed at suburbs. The new stores will use the Amazon Go branding that the company already uses for its city-based locations.
2022-01-21T23:46:44Z,Kim Lyons,The Verge,Amazon facing formal complaint from labor board over worker firing,"The National Labor Relations board said Friday it will file a formal complaint against Amazon for illegally firing a New York worker over union organizing activity, unless the company settles the case."
2022-01-08T14:00:00Z,Jennifer Pattison Tuohy,The Verge,"Matter was a major star at CES 2022, but can it maintain its shine?","There was plenty of news out of Las Vegas from Amazon, Google, Samsung, Belkin, August, Yale, and more around the new smart home standard Matter."
2022-01-06T14:35:47Z,Jon Fingas,Engadget,Apple's AirPods Max are just $400 at Woot for Amazon Prime members,"Apple's AirPods Max might finally be within reach if you were waiting for them to reach a price threshhold. Woot is selling the over-ear headphones in pink for just $400 to Amazon Prime members, or a steep $149 below their official sticker. That's the lowest …"
2022-01-17T15:24:39Z,Kris Holt,Engadget,Apple Watch Series 7 models are up to 15 percent off at Amazon,"If you've been waiting for a decent deal on an Apple Watch Series 7
, now might be the time to take the leap. You can get up to $60 (as much as 15 percent) off the smartwatch at Amazon at the minute. The biggest discounts are on the green versions of both th…"
2022-01-25T14:44:58Z,Jon Fingas,Engadget,Nintendo Switch is $20 off for Amazon Prime members at Woot,"It's not always easy to find deals for the Nintendo Switch, so this latest bargain might be worth a look. Woot is selling the blue-and-red LCD model for $280 to Amazon Prime members, or $20 below the official price. The company's return policy isn't the same …"
2022-01-05T13:55:40Z,Valentina Palladino,Engadget,Apple's 24-inch iMac M1 is cheaper than ever on Amazon right now,"Those looking to add a speedy desktop to their household, or upgrade from an old machine, should consider Apple's latest iMac. The sleek machine earned a score of 89 from us thanks in part to its fast performance and updated design, and now you can pick up th…"
2022-01-12T12:35:08Z,Steve Dent,Engadget,Samsung Galaxy S21 FE pre-orders at Amazon come with a $100 gift card,"Samsung's Galaxy S21 FE smartphone is still only available as a pre-order, but it's already available with a discount of sorts. If you pre-order the S21 FE from Amazon, with shipping set to start around January 14th, you'll get a $100 Amazon.com gift card — e…"
2022-01-19T15:54:59Z,Kris Holt,Engadget,Amazon gives its ‘Lord of the Rings’ series a redundant name,"Amazon's The Lord of the Rings series is scheduled to debut on Prime Video in September
, which might just be far enough away to get used to the unwieldy title. The company revealed the full name of the show — The Lord of the Rings: The Rings of Power — in a…"
2022-01-25T11:42:30Z,Mariella Moon,Engadget,Amazon is taking up to 40 percent off WD and Sandisk storage for today only,"If you're looking to buy new microSD cards, external hard drives or flash drives, you may want to take a look at Amazon's deal of the day sale. You'll be able to get SanDisk and WD storage products for up to 40 percent off their usual prices, including the Sa…"
2022-01-27T01:12:50Z,Mitchell Clark,The Verge,A union election is moving forward at Amazon’s JFK8 warehouse,The National Labor Relations Board has determined that the Amazon Labor Union has gotten enough signatures to move forward with an election to unionize the retail giant’s JFK8 facility.
