 published_at , author ,source_name,title ,description
2022-01-04T16:40:12Z,Zacks Equity Research,Zacks.com,KEY or BAC: Which Is the Better Value Stock Right Now?,KEY vs. BAC: Which Stock Is the Better Value Option?
2022-01-04T17:29:00Z,Sheraz Mian,Zacks.com,"Top Stock Reports for Meta Platforms, Bank of America & Mastercard","Today's Research Daily features new research reports on 16 major stocks, including Meta Platforms, Inc. (FB), Bank of America Corporation (BAC), and Mastercard Incorporated (MA)."
2022-01-11T11:20:09Z,Zacks Equity Research,Zacks.com,Should You Invest in the Financial Select Sector SPDR ETF (XLF)?,Sector ETF report for XLF
2022-01-04T11:20:08Z,Zacks Equity Research,Zacks.com,Should Vanguard S&P 500 Value ETF (VOOV) Be on Your Investing Radar?,Style Box ETF report for VOOV
2021-12-31T11:20:10Z,Zacks Equity Research,Zacks.com,Is iShares Core S&P U.S. Value ETF (IUSV) a Strong ETF Right Now?,Smart Beta ETF report for IUSV
2022-01-04T11:20:10Z,Zacks Equity Research,Zacks.com,Should You Invest in the Vanguard Financials ETF (VFH)?,Sector ETF report for VFH
2022-01-11T23:20:00Z,Tracey Ryniec,Zacks.com,5 Big Bank Charts to Kick Off Earnings Season,"With the Federal Reserve all but certain to raise rates in 2022, the banks are suddenly one of the hottest industries this earnings season."
2022-01-05T16:45:50Z,Pierre Saint Gilles,Lefigaro.fr,Bac Nord: l’impossible organisation de soirées-débats,"Un syndicat policier souhaite programmer des échanges autour du film. Mais les cinémas refusent, craignant pour leur sécurité."
2022-01-03T19:04:25Z,Corinne Caillaud,Lefigaro.fr,McDonald’s va former 3500 jeunes en alternance avec CCI France,"Ce programme inédit débouchera dans un premier temps sur des cursus allant du CAP au bac + 2 et, à terme, jusqu’à bac + 5."
2022-01-11T13:35:00Z,Mercedes Streeter,Jalopnik,This Vintage Passenger Jet Would Make The Coolest Little Home,"In Topeka, Kansas sits an historic 1967 BAC One-Eleven airliner. It’s been there for at least 20 years, its engines never starting up and its wings never flying through the clouds again. Now, it’s up for sale and the possibilities of what to do with this grou…"
2022-01-07T05:00:22Z,Nadjet Cherigui,Lefigaro.fr,"Drogue, rodéos, violences: notre reportage choc à Trappes-Élancourt, dans la peau d'un flic de la BAC","REPORTAGE - Le film « BAC Nord » a connu un succès considérable dans les salles. Nos reporters ont fait un pas de la fiction à la réalité et passé plusieurs semaines aux côtés des équipages de la BAC de Trappes-Élancourt pour comprendre, en zone difficile, le…"
2022-01-20T04:30:36Z,newsfeedback@fool.com (Motley Fool Transcribing),Motley Fool,Bank of America (BAC) Q4 2021 Earnings Call Transcript,"BAC earnings call for the period ending December 31, 2021."
2022-01-18T10:11:00Z,Steve Goldstein,MarketWatch,Market Snapshot: U.S. stock futures slump as 10-year yield tops 1.80%,"A fresh selloff in bonds sent U.S. stock futures lower on Tuesday after a three-day break, with the high-growth tech sector feeling the most heat."
2022-01-04T13:30:29Z,Vincent Bouvier,Presse-citron,Roborock S7 MaxV Ultra : le plus premium (et le plus cher) des aspirateurs robots,"Comme chaque année, Roborock profite du CES pour présenter son nouvel robot aspirateur. En 2022, c'est le S7 MaxV Ultra qui devient le flagship de la marque, avec des caractéristiques techniques impressionnantes, et un prix qui l'est tout autant."
2022-01-19T21:06:00Z,Mark DeCambre,MarketWatch,Market Pulse: Nasdaq Composite closes in correction for first time since March as stocks extend slide,"U.S. stock benchmarks close sharply lower Wednesday, with the Nasdaq Composite Index finishing at correction for the first time since March 8."
2022-01-02T23:21:00Z,Mike Murphy,MarketWatch,: Goldman joins other big banks in urging employees to work from home amid omicron surge,"Goldman Sachs Group Inc. on Sunday asked its employees to work from home until Jan. 18, the latest major bank to ask workers to stay away from the office amid a surge of COVID-19 cases due to the fast-spreading omicron variant."
2022-01-26T15:44:57Z,Samantha Bergeson,IndieWire,Adam Driver Lands Coveted César Award Best Actor Nomination for ‘Annette’,The Leos Carax musical scored 11 nominations at France's equivalent to the Oscars. Read the full list of nominees.
2022-01-07T13:27:18Z,Jean-Christophe Buisson,Lefigaro.fr,La Lettre du Fig Mag du 8 janvier 2021,LETTRE EXCLUSIVE ABONNÉS - Au programme : nos reporters en immersion avec une BAC de la banlieue parisienne ; reportage dans le village des luthiers ; plongée parmi les seigneurs de la faune aquatique ; Daniel Auteuil toujours au sommet.
2022-01-12T21:25:00Z,Marlène Thomas,Libération,"Epreuves de spécialités du bac: «Au fur et à mesure, on voit des élèves décrocher»","Un report des épreuves prévues en juin est l’un des mots d’ordre de la grève de ce jeudi. Freinés par la vague omicron et vingt-deux mois de pandémie, élèves et enseignants se voient dans l’impossibilité de les préparer convenablement dans un temps si restrei…"
2021-12-31T16:00:10Z,Julie Hay,Journal du geek,Cinéma : comment se sont portées les salles françaises en 2021 ?,"Il y a du mieux pour les salles françaises, qui enregistrent un mois de décembre proche de la normale. 
Cinéma : comment se sont portées les salles françaises en 2021 ?"
