 published_at , author ,source_name,title ,description
2022-01-11T15:09:00Z,,Reuters,Bank of America to reduce overdraft fees this spring - Reuters,"Bank of America <a href=""https://www.reuters.com/companies/BAC.N"" target=""_blank"">(BAC.N)</a>, the second-largest U.S. bank, is reducing overdraft fees from $35 to $10 starting in May, the bank said in a news release on Tuesday."
2022-01-04T19:39:00Z,,Reuters,Bank of America hires veteran investment banker Benjamin Saunders - Reuters,"Bank of America Corp <a href=""https://www.reuters.com/companies/BAC.N"" target=""_blank"">(BAC.N)</a> has hired veteran investment banker Benjamin Saunders as a managing director for its Americas Financial Institutions Investment Banking business, according to a…"
2022-01-25T22:32:00Z,,Reuters,Bank of America to give employees stock awards -memo - Reuters,"Bank of America Corp <a href=""https://www.reuters.com/companies/BAC.N"" target=""_blank"">(BAC.N)</a> said on Tuesday that it will give around 97% of its employees special compensation awards, most of which will be delivered in restricted stock units, according …"
2022-01-05T21:46:00Z,Reuters Staff,Reuters,"Bank of America to staff: Get a booster, we'll give a food bank $100 - Reuters.com","Bank of America Corp told workers on Wednesday it will donate $100 to local food banks for every one of its employees who gets a COVID-19 vaccine booster shot and notifies the bank before Jan. 31, according to a memo seen by Reuters."
2022-01-04T17:29:00Z,Sheraz Mian,Zacks.com,"Top Stock Reports for Meta Platforms, Bank of America & Mastercard","Today's Research Daily features new research reports on 16 major stocks, including Meta Platforms, Inc. (FB), Bank of America Corporation (BAC), and Mastercard Incorporated (MA)."
2022-01-24T17:30:00Z,Jake Peterson,Lifehacker.com,You Should Join This Class Action Lawsuit Against Venmo,"There’s no shortage of apps on the market to help you move and manage money, but simply using certain apps in particular doesn’t net you any funds. Usually.Read more..."
2022-01-25T20:16:00Z,,Reuters,Bank of America to award special bonuses to employees for 2021 - memo - Reuters,"Bank of America Corp <a href=""https://www.reuters.com/companies/BAC.N"" target=""_blank"">(BAC.N)</a> will reward employees for the bank's strong performance through special bonuses for the fifth straight year, according to an internal memo seen by Reuters."
2022-01-19T11:47:00Z,,Reuters,"Bank of America profit jumps on M&A boost, loan growth - Reuters","Bank of America Corp <a href=""https://www.reuters.com/companies/BAC.N"" target=""_blank"">(BAC.N)</a> reported a jump in fourth-quarter profit on Wednesday, benefiting from loan growth and a frenetic pace of global dealmaking activity that helped drive its inves…"
2022-01-25T20:41:00Z,,Reuters,Bank of America gets U.S. staff back to some offices as COVID cases fall - source - Reuters,"Bank of America Corp <a href=""https://www.reuters.com/companies/BAC.N"" target=""_blank"">(BAC.N)</a> is bringing employees back to offices in parts of the United States where new COVID-19 cases have started to decline, a person familiar with the matter told Reu…"
2022-01-26T23:56:00Z,,Reuters,Bank of America raises base pay for top bankers - source - Reuters,"Bank of America Corp <a href=""https://www.reuters.com/companies/BAC.N"" target=""_blank"">(BAC.N)</a> is raising the base salary for senior bankers, according to a person familiar with the matter, its latest attempt to retain top talent in one of the most compet…"
2022-01-07T22:00:00Z,,Reuters,Bank of America to increase bonus pool for employees - Bloomberg News - Reuters,"Bank of America Corp <a href=""https://www.reuters.com/companies/BAC.N"" target=""_blank"">(BAC.N)</a>is planning to increase the bonus pool for its employees, Bloomberg News <a href=""https://www.bloomberg.com/news/articles/2022-01-07/bofa-sweetens-bonuses-to-mak…"
