 published_at , author ,source_name,title ,description
2022-01-17T21:19:19Z,Igor Bonifacic,Engadget,US airlines warn C-Band 5G could cause 'catastrophic disruption',"The airline industry claims a “catastrophic” event could unfold on Wednesday when AT&T and Verizon activate their new C-Band 5G networks. In a letter obtained by Reuters
, the CEOs of several prominent passenger and cargo airlines, including Delta, United an…"
2021-12-28T17:00:29Z,Steve Dent,Engadget,Samsung's latest C-Lab projects include a smart guitar with LED guides,"As it does every year around this time, Samsung has unveiled its C-Lab incubator projects for CES 2022, with the aim to gauge customer response and further advance the most promising ideas. The star of the show this year is ZamStar, a guitar and app combo des…"
2022-01-20T20:31:49Z,Mitchell Clark,The Verge,FAA estimates 78 percent of US planes can land at airports with 5G C-band,"The FAA has cleared eight additional altimeters, which should allow all models of jets like the Boeing 747 and 777 to land at airports with 5G C-band rollouts, even under low-visibility conditions."
2022-01-17T13:30:00Z,Matt Smith,The Verge,How to pick a new monitor for working from home,"Here’s how to shop for a new monitor for your laptop or desktop PC — we’ll go over screen size, refresh rate, resolution, IPS, VA, TN, HDMI, DisplayPort, USB-C PD, VESA, HDR, Mini LED, and OLED."
2022-01-07T22:15:15Z,Mitchell Clark,The Verge,Satechi’s new charger provides 165W to four ports and has a cute stand,"Announced as part of CES 2022, Satechi’s charger has four USB-C ports and can push 100W to a single device, even with two others plugged in. It also comes with a cute stand for cable management."
2022-01-07T09:00:00Z,,Reuters,Beer maker C&C warns of renewed virus curbs dampening Dec sales - Reuters,"Irish drinks maker C&C Group Plc <a href=""https://www.reuters.com/companies/GCC.L"" target=""_blank"">(GCC.L)</a> said on Friday its December sales lagged expectations, as renewed curbs in the UK and Ireland due to rising cases of the Omicron coronavirus variant…"
2022-01-06T14:25:32Z,Cameron Faulkner,The Verge,Apple’s Smart Keyboard for the latest iPad is a great deal at $105,"If you have the latest ninth-gen iPad, or a previous-gen iPad Air or iPad Pro, Woot has a fantastic sale on Apple’s Smart Keyboard. You can also find deals on Anker’s port-packed USB-C hub, the Oculus Elite Strap, and much more."
2021-12-27T12:00:00Z,"Tim Barber, Jeremy White",Wired,5 Space Watches That Are Out of This World,Watches made it into space well before Jeff Bezos. Here are our top picks for timepieces connected with the final frontier.
2022-01-21T14:05:53Z,Valentina Palladino,Engadget,Samsung's 1TB T7 Touch SSD is $50 off at Amazon,"Samsung's handy T7 Touch portable SSD is cheaper right now than it was during the holiday shopping season just a couple of months ago. The 1TB black model is down to a new low of $140, which is $50 off and the best price we've seen it. Most other versions are…"
2022-01-24T07:46:00Z,Reuters Staff,Reuters,M&C Saatchi rejects fresh offer from AdvancedAdvT - Reuters UK,AdvancedAdvT said on Monday that the board of advertising giant M&C Saatchi has rejected a fresh takeover offer.
2022-01-07T07:57:00Z,,Reuters,M&C investor sets out all share merger plan - Reuters,"The biggest shareholder in M&C Saatchi <a href=""https://www.reuters.com/companies/SAA.L"" target=""_blank"">(SAA.L)</a> is proposing an all share exchange merger with her acquisition vehicle to provide more deal firepower for the British advertising group and bo…"
2022-01-24T08:14:00Z,,Reuters,M&C Saatchi rejects fresh offer from top shareholder - Reuters,"Advertising giant M&C Saatchi <a href=""https://www.reuters.com/companies/SAA.L"" target=""_blank"">(SAA.L)</a> has rejected a fresh takeover offer from the acquisition vehicle of its top shareholder Vin Murria."
2021-12-28T17:25:00Z,Rob Bricken,Gizmodo.com,I Hate Tatooine,"“If there’s a bright center to the universe, you’re on the planet that it’s farthest from,” says Luke Skywalker in response to C-3PO’s query about where he and R2-D2 have landed. The first time we watch Star Wars: A New Hope, we have no reason to disbelieve h…"
2022-01-04T18:10:49Z,Kris Naudus,Engadget,HyperX’s first game controller is built for your Android phone,"For the longest time, console gamers were second-class citizens when it came to gaming accessories. Keyboards and mice are, of course, mainly PC gaming peripherals, and the vast majority of customization software is made for desktop machines. Even most headse…"
2022-01-19T12:05:12Z,Mariella Moon,Engadget,Microsoft's Xbox Elite Wireless Series 2 controller is $40 off again,"If you missed your chance to get Microsoft's Xbox Elite Series 2 controller for $140 on New Year's Day, here's your chance to grab it a discount again. The controller is $40 off its usual price of $180 on Microsoft's website right now, and that almost matches…"
2022-01-18T12:46:00Z,Zacks Equity Research,Zacks.com,Canadian Natural (CNQ) to Boost Capex by C$800M in 2022,Canadian Natural Resources' (CNQ) targeted outflow for 2022 is made up of C$3.6 billion of base capital and C$0.7 billion of strategic growth capital.
2022-01-08T14:12:28Z,Ars Staff,Ars Technica,"The weekend’s best deals: Nintendo Switch New Year’s sale, Apple Watch, and more","Dealmaster also has USB-C chargers, the Xbox Elite Series 2 controller, and Wacom tablets."
2022-01-04T13:00:56Z,Billy Steele,Engadget,"Harman would like to sell you some $1,000 headphones","Not so long ago, the internet was debating what the folks at Apple were thinking charging $549 for the AirPods Max. At CES 2022, luxury audio brand Mark Levinson would like a word. The Harman-owned company (which also owns AKG, JBL and Harman Kardon, and is i…"
2022-01-19T16:52:00Z,Ed Cara,Gizmodo.com,Deadly Superbug Fungus Spotted in Louisiana for the First Time,"A worrying superbug fungus has been spotted in Louisiana for the first time. On Tuesday, hospital officials reported that at least two patients at the University Medical Center in New Orleans had contracted Candida auris, a deadly yeast often resistant to ant…"
2022-01-22T00:18:37Z,Jennifer Ouellette,Ars Technica,"Study: Leidenfrost effect occurs in all three water phases: Solid, liquid, and vapor",But there's a much higher threshold of 550° C for levitation of an ice disk to occur.
