 published_at , author ,source_name,title ,description
2022-01-26T12:51:00Z,,Reuters,UK inflation expectations hit record high - Citi - Reuters,"The British public's expectations for inflation in 12 months' time rose to a record high of 4.8% in January, according to a survey from YouGov and Citi."
2021-12-31T01:59:00Z,,Reuters,"JPMorgan, Citi staff to start 2022 with remote work - Reuters","JPMorgan Chase & Co <a href=""https://www.reuters.com/companies/JPM.N"" target=""_blank"">(JPM.N)</a> has offered its staff the option of working from home for the first two weeks of 2022, with a caveat that all employees are expected to return to office no later…"
2022-01-14T17:33:59Z,Reuters Editorial,Reuters,"Profits drop at JPMorgan, Citi but jump at Wells - Reuters.com","Quarterly profits fell at JPMorgan Chase and Citigroup, but they nearly doubled at Wells Fargo as banks kicked off earnings season Friday. Fred Katayama reports."
2022-01-24T16:51:00Z,Zacks Equity Research,Zacks.com,"The Zacks Analyst Blog Highlights: Tilly's, Inc., Zumiez Inc., Citi Trends, Inc. and Genesco Inc","Tilly's, Inc., Zumiez Inc., Citi Trends, Inc. and Genesco Inc are included in this blog."
2022-01-10T16:51:51Z,"jbaron@insider.com (Jasmin Baron, CEPF)",Business Insider,The best credit card bonuses and deals this week include your last chance for a record-high bonus on the Citi Premier and a lower annual fee on the Amex Business Platinum,"The 80,000-point bonus on the Citi Premier is ending, and it's your last chance to snag the Amex Business Platinum before the fee jumps this week."
2022-01-03T19:05:45Z,johostetler@gmail.com (Joseph Hostetler),Business Insider,The Citi Prestige has made its $250 annual travel credit more flexible for another year,"Citi Prestige cardholders will see their $250 annual travel credit applied to eligible restaurant and supermarket purchases through December 31, 2022."
2022-01-10T16:20:58Z,"jbaron@insider.com (Jasmin Baron, CEPF)",Business Insider,"The Citi Premier card is offering a record-high 80,000-point bonus, but it's your last chance to apply",The unprecedented bonus on the Citi Premier card is worth $800 in travel or cash back — and potentially more if you transfer points to partners.
2022-01-19T18:21:39Z,"jbaron@insider.com (Jasmin Baron, CEPF)",Business Insider,The Citi Double Cash card will soon stop earning cash back — but its new rewards currency is much more flexible,"Starting March 2022, Citi Double Cash cardholders will earn points instead of cash back, and have more options for redeeming rewards."
2022-01-25T23:26:22Z,"rwangman@insider.com (Ryan Wangman, CEPF)",Business Insider,Citibank personal loans review: Loans with solid interest rates for existing Citi customers,"Citibank personal loans aren't accessible to everyone. You need a Citi bank account for at least one year and a minimum income of $10,500 to qualify."
2022-01-14T06:59:00Z,,Reuters,Citi establishes clearing and settlement service for Beijing Stock Exchange - Reuters,"Citigroup Inc <a href=""https://www.reuters.com/companies/C.N"" target=""_blank"">(C.N)</a> said on Friday it has established clearing and settlement services for the new Beijing Stock Exchange and the city's New Third Board, in order to facilitate foreign invest…"
2022-01-26T23:00:00Z,,Reuters,BUZZ Citi sees no 'meaningful' change for Australian BNPL Zip from Sezzle deal - Reuters,"** Citi sees BNPL firm Zip Co's <a href=""https://www.reuters.com/companies/Z1P.AX"" target=""_blank"">(Z1P.AX)</a> potential acquisition of smaller rival Sezzle Inc as an expensive customer strategy and does not expect it to change its enterprise merchant base i…"
2022-01-11T21:33:00Z,,Reuters,Citi to exit Mexican consumer banking business in strategy revamp - Reuters,"Citigroup Inc <a href=""https://www.reuters.com/companies/C.N"" target=""_blank"">(C.N)</a> said on Tuesday that it will exit its Citibanamex consumer banking business in Mexico, ending a two-decade-long retail effort that was the last of its consumer banking ven…"
2022-01-14T20:16:00Z,,Reuters,"Citi says Mexico consumer bank a 'jewel,' as it gears up to sell - Reuters","Citigroup Inc <a href=""https://www.reuters.com/companies/C.N"" target=""_blank"">(C.N)</a> described the Citibanamex consumer bank in Mexico it is planning to shed as a ""jewel"" as it gears up to be active with potential buyers in the coming months."
2022-01-16T23:38:00Z,,Reuters,Mexican entrepreneur Garza Calderon confirms interest in Citi asset sale - Reuters,"Mexican entrepreneur Javier Garza Calderon aims to bid on the consumer banking arm of Citigroup <a href=""https://www.reuters.com/companies/C.N"" target=""_blank"">(C.N)</a> in the country, pledging to return it to Mexican hands, he said in a statement Sunday."
2022-01-12T19:33:00Z,,Reuters,"Mexico eyes antitrust on Citi deal, expects plenty of interest for assets - Reuters","Mexico's government said on Wednesday it would keep a close eye on excess market concentration as U.S. bank Citigroup <a href=""https://www.reuters.com/companies/C.N"" target=""_blank"">(C.N)</a> sells its consumer banking business in Mexico, and said the divestm…"
2021-12-31T23:01:51Z,Catie Keck,The Verge,Merry Christmas! Santander Claus made a $176 million payment mistake,Tens of thousands of people woke up on Christmas Day to doubled wages and a higher-than-expected bank balance after Santander mistakenly deposited £130 million ($176 million) into accounts held by its UK customers
