 published_at , author ,source_name,title ,description
2022-01-13T22:15:46Z,Shawn Hubler,New York Times,Sirhan Sirhan Is Denied Parole as Newsom Rejects Board’s Recommendation,"Gov. Gavin Newsom was not swayed by a California panel that had advocated the release of Mr. Sirhan, who was convicted of assassinating Robert F. Kennedy in 1968."
2022-01-17T10:00:16Z,Patricia Mazzei,New York Times,"A Grand Miami Beach Hotel, and Its History, Might Be Torn Down","The Deauville Beach Resort played host to The Beatles, Frank Sinatra and John F. Kennedy. But it has been deemed unsafe after years of neglect."
2022-01-05T17:15:00Z,Andrew J. Hawkins,The Verge,Chevy Silverado EV revealed: GM’s best-selling truck goes electric,"General Motors revealed the Chevy Silverado EV, the electric version of the automaker’s top-selling pickup truck. The Silverado will come in two trim levels, ranging in price from $39,900 to $105,000."
2022-01-25T04:52:46Z,"Opinion by Peter Bergen, CNN National Security Analyst",CNN,Opinion: The threat Robert F. Kennedy Jr. poses to Covid-19 vaccination efforts,"For many years, Robert F. Kennedy Jr. has been a leader of the anti-vaccination movement in the United States. And, for much of that time, he has been seen as an outlier. Even before the pandemic, several of his family members -- including Kathleen Kennedy To…"
2022-01-17T19:45:09Z,"Laura Studley, CNN",CNN,Suspect arrested and charged with hate crime in alleged attack on Sikh taxi driver at JFK Airport,"A man has been arrested and charged with a hate crime after an alleged attack on a taxi driver at New York City's John F. Kennedy International Airport earlier this month, a criminal complaint states."
2021-12-30T11:03:00Z,noreply@blogger.com (Unknown),Blogspot.com,The Rock Rejects Vin Diesel's Plea For Him To Join Fast & Furious 10,"Dwayne Johnson and Vin Diesel in 2011 (Image via Getty Images/Buda Mendes) It's safe to say that Dwayne ""The Rock"" Johnson will not be returning to the Fast and Furious franchise. In a new interview with CNN released on Wednesday, December 29, the young rock …"
2022-01-06T18:52:19Z,Kris Holt,Engadget,The first edition of the Chevy Silverado EV sold out in 12 minutes,"Soon after GM formally revealed the Chevrolet Silverado EV
 at CES, it emerged that the $105,000 RST First Edition has already sold out. In fact, according to GM CEO Mary Barra, all of those vehicles were snapped up in just 12 minutes.Barra told Bloomberg
 …"
2022-01-04T19:04:00Z,,Reuters,FC Cincinnati sign free agent F Dominique Badji - Reuters,FC Cincinnati signed free agent forward Dominique Badji for the 2022 season with club options for 2023 and 2024.
2022-01-26T04:48:26Z,"Brad Lendon, CNN",CNN,US Navy wants to retrieve crashed F-35 from depths of the South China Sea -- before China does,"The United States Navy is trying to retrieve its most advanced fighter jet from the depths of the South China Sea, an extremely complex operation that analysts say will be closely monitored by Beijing."
2022-01-25T22:40:33Z,Neil Vigdor,New York Times,"Fraud Ring That Staged Car Crashes Cost Insurers $1 Million, U.S. Says","Nearly two dozen people have been indicted on charges related to the elaborate scheme, which took place from 2017 to 2020 in Washington State, the authorities said."
2022-01-23T13:00:02Z,Geoffrey Morrison,CNET,Inside the Smithsonian's Steven F. Udvar-Hazy Center - CNET,"From biplanes to spacecraft, here's a look at some of the most important aircraft from a century of flight."
2022-01-07T10:00:00Z,Benjamin Rains,Zacks.com,Bull of the Day: Ford Motor Company (F),EVs are still in their infancy and the historic automaker's big electric push is already turning heads...
2022-01-17T19:50:59Z,Robert D. McFadden,New York Times,"Charles E. McGee, Tuskegee Airman Promoted by Trump, Dies at 102","In three wars, he flew a total of 409 combat missions. “We shattered all the myths,” he said of the accomplishments of Black pilots in World War II."
2022-01-04T16:40:11Z,Zacks Equity Research,Zacks.com,F vs. TSLA: Which Stock Should Value Investors Buy Now?,F vs. TSLA: Which Stock Is the Better Value Option?
2022-01-25T16:41:00Z,,Reuters,Robert Kennedy Jr apologizes for Holocaust remarks at anti-vaxxer rally - Reuters,Robert F. Kennedy Jr on Tuesday apologized for remarks he made over the weekend in which he invoked the Holocaust while speaking at an anti-vaxxer rally.
2022-01-17T12:48:00Z,Zacks Equity Research,Zacks.com,Best Income Stocks to Buy for January 17th,"BRDG, AXS, and F made it to the Zacks Rank #1 (Strong Buy) income stocks list on January 17, 2022"
2022-01-19T12:45:00Z,Zacks Equity Research,Zacks.com,Ford (F) & ADT to Bolster Car Security With Canopy Venture,Ford (F) to join forces with ADT to form a new venture called Canopy that will strengthen vehicle security.
2022-01-11T10:14:35Z,Steve Dent,Engadget,GM recognizes California's authority to set its own vehicle emissions standards,"GM has reversed course on its emissions policy, saying it now recognizes California's authority to set its own vehicle pollution standards, TechCrunch as reported. Previously, the automaker backed efforts by the former Trump administration to force the state …"
2022-01-04T11:40:37Z,Jonathan M. Gitlin,Ars Technica,"Ford will boost electric F-150 production to 150,000 trucks per year",The news comes after last month's decision to triple Mustang Mach-E production.
2021-12-28T15:35:06Z,TSN.ca Staff,Www.tsn.ca,Senators sign F Boucher to entry-level contract - TSN,"The Ottawa Senators have signed American forward Tyler Boucher to a three-year, entry-level contract."
