 published_at , author ,source_name,title ,description
2022-01-12T21:45:46Z,Gilad Edelman,Wired,The Antitrust Case Against Facebook Draws Blood,The latest ruling by a federal judge is a milestone for the effort to regulate Big Tech.
2022-01-08T14:36:00Z,noreply@blogger.com (Unknown),Blogspot.com,Facebook parent's head of communications leaves company,"<table><tr><td></td></tr><tr><td>A 3D printed Facebook's new rebrand logo Meta is placed on laptop keyboard in this illustration taken on November 2, 2021. REUTERS/Dado Ruvic/Illustration</td></tr>
</table>Head of communications for Facebook's parent company…"
2022-01-11T17:10:18Z,Russell Brandom,The Verge,Facebook contractors threaten to stop work over missing paychecks,Contractors at an Accenture site in Austin that handles moderation and other services for Meta and WhatsApp are still waiting for their holiday paychecks and threatening to stop work as a result.
2022-01-11T13:00:00Z,Os Keyes,Wired,It Doesn't Make Sense to Treat Facebook Like a Public Utility,It's an American solution to a global problem.
2022-01-07T14:05:36Z,https://www.facebook.com/bbcnews,BBC News,France fines Google and Facebook over cookies,French regulators have fined Google and Facebook for violating EU privacy rules.
2022-01-05T15:23:53Z,Adi Robertson,The Verge,Meta reportedly canceled a 300-person VR / AR operating system project,"Meta, formerly known as Facebook, has reportedly canceled a VR / AR operating system known as XROS after the departure of project head Mark Lucovsky."
2022-01-14T18:44:12Z,Russell Brandom,The Verge,"Mark Zuckerberg and Sundar Pichai were involved in ad collusion plot, claims court filing",A new complaint in the antitrust case led by Texas AG Ken Paxton alleges that Google and Facebook colluded to dominate programmatic advertising in a deal overseen by the company’s respective CEOs.
2022-01-11T22:27:30Z,Tom McKay,Gizmodo.com,"Gettr Promised Users It Would Free Them From Big Tech, But It's Tracking Them for Facebook and Google","Gettr, just one of the interminable Facebook/Twitter clones for MAGA chuds angry about social media rules against conspiracy theories and bigotry, sold itself to potential users as a way to escape the totalitarian tyranny of tech giants like Facebook and Goog…"
2022-01-15T14:15:00Z,noreply@blogger.com (Unknown),Blogspot.com,WhatsApp inches forward on bringing Reactions to its app,"WhatsApp, owned by Meta, is actively developing its app and working on new features. The app's latest beta  on iOS reveals that a new feature may be coming soon worked on reactions to iMessage-like messages. In their latest findings, they discovered that a re…"
2022-01-11T20:55:57Z,Cecilia Kang,New York Times,"A Facebook antitrust suit can move forward, a judge says, in a win for the F.T.C.",The government can proceed with its claims that the company abused its monopoly power through acquisitions.
2022-01-19T19:10:00Z,Caitlin McGarry,Gizmodo.com,Now You Can Pay Money to Use Instagram,"Popular Instagrammers can now start charging you money to view their content, in a move that seemed pre-ordained from the moment that Facebook (now calling itself Meta) acquired the photo-sharing app. Read more..."
2022-01-04T23:19:01Z,John Timmer,Ars Technica,Tracking Facebook connections between parent groups and vaccine misinfo,Tracking connections pre and post COVID also shows the pull of conspiracy groups.
2022-01-25T20:00:45Z,Emma Roth,The Verge,"Facebook’s plan to offer free internet in developing countries ended up costing users, WSJ reports","A report by the Wall Street Journal reveals users of Facebook’s free internet service, which the company deploys in developing nations, have been unknowingly getting charged."
2022-01-06T08:34:00Z,,Reuters,France imposes fines on Facebook Ireland and Google - Reuters,"France's CNIL data privacy watchdog said on Thursday it had fined Google <a href=""https://www.reuters.com/companies/GOOGL.O"" target=""_blank"">(GOOGL.O)</a> 150 million euros ($169.38 million) and Facebook Ireland 60 million, saying the U.S. technology giants h…"
2022-01-07T19:15:20Z,Kris Holt,Engadget,Meta's new Privacy Center explains how the company handles data collection,"Meta
 has announced
 a new Privacy Center that provides users with information about data collection, sharing, security, data use and ads. The hub includes details on the approach to privacy across apps like Facebook
 and Instagram
, the Data Policy and h…"
2022-01-26T21:30:00Z,Shoshana Wodinsky,Gizmodo.com,LG’s Latest Announcement Solidifies Everything Wrong With TVs,"It’s a well established fact on the internet that when you don’t pay for something, you are the product. This is the way companies like Facebook operate: You, a user, don’t put down cash every time you log in to see what your friends/family/exes are doing; in…"
2022-01-08T19:00:02Z,Namerah Saud Fatmi,Android Central,Add your Facebook events to your Google Calendar,"Facebook offers some of the best Android apps out there for tasks like video calling and messaging. The OG Facebook platform is full of useful features for social purposes. For instance, you can add Facebook events to your Google Calendar, making it easier to…"
2022-01-14T13:00:02Z,Chris Wedel,Android Central,Review: The Facebook Portal+ shines in nearly every way,"Video calls on the Facebook Portal+ are superb, even if there are some odd software flaws to deal with.

The use of video calling apps has grown a lot in the past couple of years. Not only has the use of these services expanded, so have the hardware options t…"
2022-01-25T12:20:49Z,Babu Mohan,Android Central,Facebook parent Meta announces the world's fastest AI supercomputer,"Meta began designing the computing infrastructure ""from a clean slate"" in early 2020.



What you need to know


Meta has announced the AI Research SuperCluster (RSC), which it claims is among the fastest AI supercomputers in the world.
The RSC will help acce…"
2022-01-26T14:30:02Z,Chris Wedel,Android Central,Should you buy the Nest Hub Max or Facebook Portal+?,"A clear sense of identity

Nest Hub Max



$230 at Best Buy
From $209 at Walmart
$229 at Google

Pros


Excellent facial and voice recognition
Access to YouTube and YouTube Music natively
Built-in access to Netflix, Hulu, Sling TV, and more
Google Assistant w…"
