 published_at , author ,source_name,title ,description
2021-12-31T15:21:00Z,,Reuters,"Ford Motor, Home Depot, Coty - Reuters","U.S. stocks paused on Friday, after a stunning recent rally put Wall Street's main indexes on pace to finish the year with handsome gains driven by massive stimulus, vaccine rollouts, and strong retail participation."
2022-01-24T11:57:00Z,,Reuters,Ford launches high-performance Bronco Raptor - Reuters,"Ford Motor Co <a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> on Monday launched a Raptor variant of its Bronco SUV, expanding its Bronco lineup with a new high-priced model."
2022-01-07T10:00:00Z,Benjamin Rains,Zacks.com,Bull of the Day: Ford Motor Company (F),EVs are still in their infancy and the historic automaker's big electric push is already turning heads...
2022-01-19T21:10:06Z,Jon Fingas,Engadget,Airstream's concept electric camping trailer propels itself,"Even Airstream is getting in on electric vehicles. According to Autoblog, the Thor brand has introduced a pair of EV concepts that include the eStream, a self-propelled camper. The dual-motor trailer not only reduces the burden on the towing vehicle, but can …"
2022-01-25T15:44:00Z,Zacks Equity Research,Zacks.com,"Zacks.com featured highlights include: Ford Motor Co., General Motors Co., KB Home, Group 1 Automotive and Signet Jewelers Ltd","Ford Motor Co., General Motors Co., KB Home, Group 1 Automotive and Signet Jewelers Ltd are included in this blog."
2022-01-14T13:36:00Z,noreply@blogger.com (Unknown),Blogspot.com,Tesla delays initial production of Cybertruck to early 2023 - source,"<table><tr><td></td></tr><tr><td>Image Credit:Jeenah Moon/Reuters</td></tr>
</table>Tesla Inc (TSLA.O) aims to start initial production of its long-awaited Cybertruck by the end of the first quarter of 2023, pushing plans to start production later this year,…"
2022-01-26T20:28:00Z,Paul Lienert,Reuters,"Ford, Jiangling form China joint venture to sell SUVs, vans - Reuters.com","Ford Motor Co and longtime Chinese partner Jiangling Motors Corp have formed a joint venture aimed at strengthening Ford's sales efforts and reach in China, the companies said Wednesday."
2022-01-18T16:34:00Z,,Reuters,"Ford Motor, ADT form joint venture to market in-vehicle security systems - Reuters","Ford Motor Co <a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> and ADT Inc <a href=""https://www.reuters.com/companies/ADT.N"" target=""_blank"">(ADT.N)</a> have launched a $105 million joint venture, Canopy, to develop and market in-vehi…"
2022-01-10T11:19:00Z,,Reuters,"Ford hires Audi's Sander to lead Ford Germany, passenger vehicles Europe - Reuters","Ford <a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> has appointed Audi's Europe sales chief Martin Sander into a new role heading up its German operations as well as running passenger vehicles for Europe, the company said on Monday."
2022-01-13T20:05:00Z,,Reuters,Ford crosses $100 bln in market value for the first time - Reuters,"Ford Motor Co's <a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> market value breached $100 billion for the first time on Thursday, as more investors bet on the Detroit automaker's electrification strategy."
2022-01-05T14:18:00Z,,Reuters,Ford Motor posts 6.8% fall in 2021 U.S. auto sales - Reuters,"Ford Motor Co <a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> on Wednesday posted a 6.8% fall in 2021 U.S. vehicle sales, after the automaker was forced to delay deliveries due to lingering supply-chain bottlenecks and a global chip …"
2021-12-30T10:56:00Z,,Reuters,Foreign carmakers interested in Ford plant in India - state minister - Reuters India,"Foreign automakers have indicated an interest to the government of India's Tamil Nadu state in acquiring Ford Motor Co's <a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> plant there, the state industries minister said on Thursday, aft…"
2022-01-26T21:11:00Z,,Reuters,"Ford, Jiangling form China joint venture to sell SUVs, vans - Reuters","Ford Motor Co <a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> and longtime Chinese partner Jiangling Motors Corp <a href=""https://www.reuters.com/companies/000550.SZ"" target=""_blank"">(000550.SZ)</a> have formed a joint venture aimed …"
2022-01-25T17:56:00Z,,Reuters,Ford aims to be the Tesla of connected commercial vehicles - Reuters,"Ford Motor Co <a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> Chief Executive Jim Farley won applause from Wall Street by <a href=""https://www.reuters.com/business/autos-transportation/ford-crosses-100-bln-market-value-first-time-202…"
2022-01-04T11:11:00Z,,Reuters,Ford doubles Lightning production as electric truck battle with GM heats up - Reuters,"Ford Motor Co <a href=""https://www.reuters.com/companies/F.N"" target=""_blank"">(F.N)</a> said on Tuesday that it will nearly double annual production capacity for its red-hot F-150 Lightning electric pickup to 150,000 vehicles as the model has already attracte…"
2022-01-14T14:14:00Z,noreply@blogger.com (Unknown),Blogspot.com,Musk says Tesla to accept dogecoin for merchandise,"<table><tr><td></td></tr><tr><td> Representation of cryptocurrency Dogecoin is seen in this illustration taken November 29, 2021. REUTERS/Dado Ruvic/Illustration/File Photo</td></tr>
</table>Tesla Inc (TSLA.O) will accept the meme-based cryptocurrency dogeco…"
2022-01-05T17:30:00Z,,Reuters,"GM to chase Ford, Rivian with a $105000 electric Silverado pickup - Reuters","General Motors Co's <a href=""https://www.reuters.com/companies/GM.N"" target=""_blank"">(GM.N)</a> $35 billion electric vehicle strategy will face its biggest test in 2023 when it launches an electric version of its Chevrolet Silverado pickup with a six-figure p…"
2022-01-25T16:00:00Z,,Reuters,"GM's $7 billion investment intensifies EV battle with Ford, Tesla - Reuters","General Motors Co <a href=""https://www.reuters.com/companies/GM.N"" target=""_blank"">(GM.N)</a> said Tuesday it will invest $7 billion in Michigan, much of that aimed at dramatically boosting production of full-size electric pickups, intensifying a battle with …"
