 published_at , author ,source_name,title ,description
2022-01-21T15:20:49Z,Kris Holt,Engadget,DeepMind co-founder Mustafa Suleyman leaves Google,"Mustafa Suleyman, a co-founder of artificial intelligence research company DeepMind
, has left Google
 to join venture capital firm Greylock Partners. Suleyman has brought to an end an eight-year run at Google, where he was most recently the company’s vice …"
2022-01-07T13:45:49Z,Mariella Moon,Engadget,Google Doodle pays tribute to Stephen Hawking,"Stephen Hawking would've turned 80 on January 8th, 2022 had he still been alive. While he's no longer with us, his contribution to our understanding of the universe remains immense and shouldn't be forgotten. To pay tribute to the celebrated physicist and cos…"
2022-01-16T20:07:11Z,Jon Fingas,Engadget,Safari exploit can leak browser histories and Google account info,"Apple device users appear to be vulnerable to a significant browser privacy flaw. According to 9to5Mac, FingerprintJS has disclosed an exploit that lets attackers obtain your recent browser history, and even some Google account info, from Safari 15 across all…"
2022-01-01T15:43:00Z,noreply@blogger.com (Unknown),Blogspot.com,Google accidentally teases more powerful Tasks sidebar,"Google Tasks doesn't get a lot of attention, and it's not hard to see why. It has very few features and Google Keep can do all it can. However, the tasks can get a little more useful. The new version of the tasks sidebar in a blog post and some useful additio…"
2022-01-25T16:31:02Z,Emma Roth,The Verge,"Google abandons FLoC, introduces Topics API to replace tracking cookies",Google is replacing FLoC with a new concept designed to replace third-party cookies called the Topics API. Topics will assign users five categories per week based on web activity and will erase these topics after three weeks.
2021-12-30T09:54:00Z,noreply@blogger.com (Unknown),Blogspot.com,TikTok replaces Google as world's most popular website,"TikTok become the  most popular domain on the internet by 2021 on Tuesday, by replacing Google  according to  cybersecurity company Cloudflare. atOptions = { 'key' : '2da69df5e5a1c7f1621066a1f7e69b57', 'format' : 'iframe', 'height' : 90, 'width' : 728, 'param…"
2022-01-08T15:01:00Z,noreply@blogger.com (Unknown),Blogspot.com,India's antitrust body orders Google inquiry after news publishers complain,"<table><tr><td></td></tr><tr><td>The Google logo is pictured at the entrance to the Google offices in London, Britain January 18, 2019. REUTERS/Hannah McKay</td></tr>
</table>India's competition regulator on Friday ordered an investigation into Alphabet Inc'…"
2022-01-08T15:55:00Z,noreply@blogger.com (Unknown),Blogspot.com,Sonos wins Google import ban ruling in U.S. patent fight,"<table><tr><td></td></tr><tr><td>The Google name is displayed outside the company's office in London, Britain November 1, 2018. REUTERS/Toby Melville</td></tr>
</table>A US commercial court has banned Google  from importing products that infringe the smart s…"
2022-01-20T22:20:00Z,Florence Ion,Gizmodo.com,"Ready for Google Glass, Round Two?","With every tech giant from Apple to Microsoft to Amazon rumored to be developing a pair of augmented reality glasses or mixed reality headset, we’ve been wondering whether Google was planning to wade back into consumer headsets. After all, the company gave AR…"
2022-01-21T23:20:00Z,Phillip Tracy,Gizmodo.com,Google Pixel Watch Launch Tipped for May,"Rumors surrounding Google’s forthcoming Pixel smartwatch have been circulating for more than a year, and while we know some details about the product, a specific release date hasn’t even been speculated.Read more..."
