 published_at , author ,source_name,title ,description
2022-01-22T16:26:33Z,Tim Biggam,StockNews.com,Intel Is the Perfect Stock To Buy When the Chips are Down,Time to use fear to your advantage with a covered call trade on POWR Buy rated value stock INTC.
2022-01-21T13:39:33Z,Dipanjan Banchur,StockNews.com,3 Top ESG to Buy in 2022,"Growing awareness of environmental and social issues has caused investors to focus more on stocks that score highly on environmental, social, and governance (ESG) criteria. Given this, we think it..."
2022-01-06T11:20:11Z,Zacks Equity Research,Zacks.com,Should You Invest in the iShares Semiconductor ETF (SOXX)?,Sector ETF report for SOXX
2022-01-03T11:20:11Z,Zacks Equity Research,Zacks.com,Should iShares MSCI USA Value Factor ETF (VLUE) Be on Your Investing Radar?,Style Box ETF report for VLUE
2022-01-19T09:00:00Z,Thomas Hughes,MarketBeat,"These Semiconductor Stocks Just Got Upgraded, Again",The semiconductor sector (NASDAQ: SOXX) is heating up and in such a way that we here at Marketbeat.com have begun to feel like a broken record when we say it....
2022-01-26T12:51:00Z,"Kim Mackrael, Daniel Michaels Meghan Bobrowsky",MarketWatch,The Wall Street Journal: Intel wins appeal of $1.2 billion EU antitrust fine,Intel Corp. won an annulment of a $1.2 billion fine issued by the European Union’s antitrust regulator more than a decade ago over allegations the microchip producer had used its commercial power to squeeze out a competitor.
2022-01-04T15:50:00Z,Zacks Equity Research,Zacks.com,"AMD Acquires Xilinx, Intensifies Competition with Peers",Advanced Micro Devices' (AMD) acquisition of Xilinx is expected to close in the first quarter of 2022
2022-01-25T19:09:00Z,Zacks Equity Research,Zacks.com,Apple's (AAPL) Supply Chain Woes Persist Ahead of Q1 Results,"Apple (AAPL) is still facing supply chain constraints ahead of the release of Quarter 1 results for 2022, which is further complicated by Apple's launch of new products"
2022-01-11T17:50:39Z,insider@insider.com (Andrew Meola),Business Insider,What is the Internet of Things? What IoT means and how it works,What in the world is the Internet of Things? IoT is a growing mega trend that will influence everything from businesses to our daily personal lives.
2022-01-26T21:10:00Z,Mark DeCambre,MarketWatch,Market Pulse: Dow ends lower and stock market gives up gains as Fed’s Powell sets stage for interest-rate hikes starting in March,"U.S. stocks reverse course to end lower Wednesday, with Wall Street mostly erasing gains after the Federal Reserve maintained a hawkish policy stance."
2022-01-18T19:56:00Z,Emily Bary,MarketWatch,"The Ratings Game: Intel stock has a bright near-term future, says analyst","Despite lingering long-term challenges, Intel could deliver a positive earnings surprise, analyst says"
2022-01-25T19:48:00Z,Daniel Laboe,Zacks.com,S&P 500 Corrects Ahead Of Fed Meeting: Let's Check The Technicals,It's been a crazy start to what is expected to be the most pivotal week of Q1 market action.
2021-12-31T20:42:00Z,Jon Swartz,MarketWatch,: CES cut one day short due to health protocols,"Nation’s biggest tech conference — criticized for not canceling altogether as COVID cases surge across the country and beyond — was scheduled to run Jan. 5–8 but will now close on Friday, Jan. 7"
2022-01-21T18:20:15Z,J. Samuel,Penny Stocks,The Stock Market is Down Today: Here’s Why & 3 Penny Stocks To Watch,Here's why the stock market is down today &#038; 3 penny stocks going against the trend.
2022-01-11T15:07:00Z,Emily Bary,MarketWatch,"The Ratings Game: AMD stock offers ‘one of the most compelling data-center growth stories,’ analyst says in upgrade","Advanced Micro Devices Inc. has been gaining share, and KeyBanc Capital Markets analyst John Vinh expects that momentum to continue."
2022-01-04T18:34:00Z,"Wallace Witkowski, , Jeremy C. Owens",MarketWatch,": Intel focuses on autonomous driving, gaming and laptop chips at CES 2022","New Mobileye system-on-a-chip designed for consumer usage, while new gaming chips seek to challenge Nvidia and AMD offerings"
2022-01-25T19:50:00Z,Wallace Witkowski,MarketWatch,: Chip sector flirting with bear-market territory as semiconductor earnings kick off,"Semiconductors stocks fell further with the broader market selloff Tuesday, and have been skating dangerously close to bear-market territory this week as U.S. chip makers are set to begin reporting holiday-season earnings."
2022-01-26T09:49:00Z,Barbara Kollmeyer,MarketWatch,"Market Snapshot: U.S. stock futures climb ahead of Fed outcome, more earnings",Stock futures are tearing higher as investors await the outcome of a Fed meeting.
2022-01-10T14:30:00Z,Arenberg Equity Research,Seeking Alpha,A Contrarian View On Intel: Further Downside Given The Street's Expectations,Arenberg Equity Research offers a contrarian view on Intel's valuation. Learn why INTC stock should not be your number one pick for now here.
2022-01-04T14:00:00Z,Austin Craig,Seeking Alpha,Intel: A Graphics Card And Crypto Sleeping Giant,Intel is entering the discrete GPU market shortly. Miners utilizing GPUs for cryptocurrency are sustaining high GPU demand. See what this means for INTC stock.
