 published_at , author ,source_name,title ,description
2022-01-06T11:32:27Z,Jon Porter,The Verge,Intel announces 5.5Ghz capable 12th Gen CPU,ntel has officially announced a new 12th-gen desktop CPU that’s capable of boosting to 5.5GHz on a single core without the need for consumer overclocking. The announcement came during Intel’s CES 2022 presentation.
2022-01-04T18:10:10Z,Daniel Cooper,Engadget,HP updates its EliteBook and ZBooks with new Intel chips,"It’s CES, which means that HP is busting out a whole host of new laptops with upgraded internals to suit the new silicon coming from Intel. That includes a bunch of Elite-branded machines, including the Elite x360 1040 G9, EliteBook 1040 G9, EliteBook 800 G9 …"
2022-01-04T18:10:39Z,Devindra Hardawar,Engadget,"Intel Evo PCs will include foldables, offer iPhone integration this year","Intel hasn't forgotten about Evo, its premium branding for PCs that meet its array of performance benchmarks. Now in its third iteration (remember it was originally called Project Athena), the company says it's also adding a foldable specification for Evo PCs…"
2022-01-26T13:10:40Z,Mariella Moon,Engadget,Europe's second highest court scraps Intel’s €1.06 billion antitrust fine,"Intel has emerged triumphant (for now) in a long-running antitrust case that once saw the chipmaker slapped with a record-breaking fine by the European Commission. The General Court, Europe's second highest court, has overturned the €1.06 billion fine levied …"
2022-01-07T13:18:00Z,noreply@blogger.com (Unknown),Blogspot.com,Apple loses lead Apple Silicon designer Jeff Wilcox to Intel,"<table><tr><td></td></tr><tr><td>The Apple Park campus stands in this aerial photograph taken above Cupertino in October 2019.Sam Hall/Bloomberg via Getty Images
</td></tr>
</table>Jeff Wilcox, Apple Silicon Leader and T2 security processor developer, left …"
2022-01-04T15:44:52Z,Tom Warren,The Verge,AMD beats Intel with first CPUs that have Xbox-like security for Windows,AMD’s new Ryzen 6000 processors are the first with Microsoft Pluton security chips. AMD has beaten Intel to include Xbox-like security for its Windows laptops.
2022-01-21T10:14:21Z,Jon Porter,The Verge,Intel selects Ohio for ‘largest silicon manufacturing location on the planet’,"Chip manufacturer Intel will reportedly spend at least $20 billion on a new chip manufacturing site in Ohio. The 1,000-acre location will play host to two chip factories, and is set to directly employ at least 3,000 people."
2022-01-04T18:15:36Z,Daniel Cooper,Engadget,"Acer’s new, 16-inch Swift X is its first with Intel Arc graphics","Acer’s flagship line of Swift X notebooks is going to be one of the first to tote around Intel’s new Arc graphics. The 16-inch model, at least, will be Acer’s first with Intel’s attempt at toppling NVIDIA’s leadership position in the mobile graphics space. Th…"
2022-01-04T18:15:20Z,Jon Fingas,Engadget,Acer's gaming laptops add 12th-gen Intel Core and NVIDIA RTX 30 Ti,"Acer is often quick to embrace the latest chips in its gaming laptops, and that's particularly true this year. The brand has updated its Predator Helios and Triton portables to use both Intel's 12th-generation Core processors and NVIDIA's GeForce RTX 30 Ti gr…"
2022-01-05T09:35:33Z,Mariella Moon,Engadget,Watch Intel's CES 2022 event in under 10 minutes,Intel debuted its new chips for laptops — and a handful of devices that use them — at this year's CES. The chipmaker has announced that it's bringing its hybrid 12th-gen CPUs to laptops a few months after they were introduced for desktop computers. These CPUs…
2022-01-04T18:10:00Z,Phillip Tracy,Gizmodo.com,Everything We Know About Intel's Long-Awaited Arc Discrete Graphics,"Intel announced today that Arc, its long-awaited high-end discrete graphics, has started shipping to laptop and desktop vendors. The chipmaker also gave us a brief reminder about the graphics’ underlying technologies but stopped short of providing any benchma…"
2022-01-04T18:10:00Z,Phillip Tracy,Gizmodo.com,Intel's 12th-Gen Laptop CPUs Are Here to Take On Apple and AMD,"Intel’s response to Apple M1 series and AMD Ryzen processors has arrived—at least, partially.Read more..."
2022-01-04T18:10:07Z,Devindra Hardawar,Engadget,Intel's 12th-gen hybrid CPUs bring 14 cores to laptops,"After debuting its hybrid 12th-gen CPUs for desktops in October, Intel is ready to bring them to notebooks. To recap, the company's new CPUs (previously codenamed Alder lake) combine performance cores (P-cores) and efficient cores (E-cores) on a single chip. …"
2022-01-04T18:10:00Z,Phillip Tracy,Gizmodo.com,Intel Just Revealed a Ton More 12th-Gen Alder Lake Desktop CPUs,Intel at CES 2022 finally took the wraps off of the full suite of its 12th-gen Alder Lake desktop processors from Pentium on up to Core i9 SKUs.Read more...
2022-01-04T18:15:00Z,Phillip Tracy,Gizmodo.com,Acer's Swift X May Be a Sleeper Gaming Hit With Intel's Arc Discrete GPU,"Acer’s Swift X is an interesting laptop. From the outside, it doesn’t look like much—a simple, thin notebook with some fun lid colors. But glance at the specs sheet and suddenly the Swift X could be a do-it-all laptop you’d be happy to spend money on.Read mor…"
2022-01-04T18:16:25Z,Devindra Hardawar,Engadget,Intel's 12th-gen KS-series chips will reach 5.5GHz on a single core,"Intel is seriously planning to crank things up with its 12th-generation KS-series desktop CPUs. On stage at the company's CES press event today, Intel's Client Computing head Gregory Bryant revealed that the KS chips will reach a whopping 5.5GHz on a single c…"
2022-01-25T12:35:42Z,Steve Dent,Engadget,Report suggests NVIDIA is preparing to walk away from its ARM acquisition,"NVIDIA has reportedly made little to no progress in gaining regulatory approval for its $40 billion purchase of ARM and is privately preparing to abandon the deal, according to Bloomberg's sources. Meanwhile, current ARM owner SoftBank is reportedly advancing…"
2022-01-26T15:12:35Z,Eric Bangeman,Ars Technica,European court overturns 12-year-old €1.06 billion fine against Intel,It's a major victory for Intel.
2022-01-04T18:15:07Z,Joshua Goldman,CNET,Acer's thin-and-light Swift X laptop gets more GPU juice from Intel at CES 2022 - CNET,"The updated 14-inch, 3-pound laptop jumps from AMD to Intel CPUs and is joined by a new 16-inch model with Intel Arc discrete graphics."
2022-01-04T18:15:00Z,Phillip Tracy,Gizmodo.com,Acer's Gaming Laptops Get Huge Upgrades With the Latest Chips,"Acer is clearing its digital shelves and stocking them with new gaming laptops. After launching three new Chromebooks earlier in the week, the Taiwanese laptop maker has revealed refreshed versions of the Nitro 5, Predator Helios 300, and Triton 500 SE this w…"
