 published_at , author ,source_name,title ,description
2022-01-18T07:09:08Z,,BBC News,"'Usyk will smash Joshua next time, properly' - Fury predicts KO in rematch",Tyson Fury takes aim at Anthony Joshua in this week's Fight Talk. Can AJ get revenge over Oleksandr Usyk in their rematch? Fury doesn't think so. Plus reaction to Jake Paul's reported 2021 earnings.
2022-01-05T09:00:00Z,Thomas Hughes,MarketBeat,The Coca-Cola Company And PepsiCo Get Upgraded But Which Is The Better Buy?,"The Coca-Cola Company (NYSE: KO) and Pepsico (NASDAQ: PEP) both received bullish commentary and fresh, high price targets with the start of the new year but one is still clearly..."
2022-01-05T19:51:00Z,Bryan Hayes,Zacks.com,Consumer Staples May Foreshadow What's To Come In 2022,Consumer Staples May Foreshadow What's To Come In 2022
2022-01-13T16:19:51Z,Laura Snapes,The Guardian,Carthy folk dynasty appeals for financial support after income ‘dried up’ during pandemic,"Eliza Carthy said her parents Martin Carthy and Norma Waterson were ‘struggling to survive’ after Covid-19 left them without revenues from live performancesThe folk musician Eliza Carthy has asked fans for financial support to aid her parents, celebrated musi…"
2022-01-13T17:21:00Z,,Reuters,Osaka tops Forbes list of highest-earning female athletes - Reuters,"Japan's Naomi Osaka, a four-times Grand Slam tennis champion who has helped raise awareness of mental health issues in sport, is the world's highest-paid female athlete, according to a list published by business magazine <a href=""https://www.forbes.com/sites/…"
2022-01-20T11:33:00Z,,Reuters,Myanmar military arrests more journalists in media crackdown-editor - Reuters UK,"Myanmar's military has arrested three people working for the independent news portal Dawei Watch, an editor at the publication said on Thursday, the latest detentions under a media crackdown that has occurred since last year's coup."
2022-01-25T07:25:39Z,https://www.facebook.com/bbcnews,BBC News,Mumbai winter: India's muggy city is butt of jokes in 'winter' memes,The unusually cold weather in India's financial capital has amused the internet.
2021-12-28T11:04:00Z,,Reuters,"Analysis: South America, battered by COVID-19, now winning global vaccination race - Reuters","Throughout much of 2020 and early 2021, South America was ground zero in the global fight against COVID-19."
2022-01-05T20:33:00Z,Mark Vickery,Zacks.com,"Top Analyst Reports for JPMorgan, Toyota & Netflix","Today's Research Daily features new research reports on 16 major stocks, including JPMorgan Chase & Co. (JPM), Toyota Motor Corp. (TM) and Netflix, Inc. (NFLX)."
2022-01-19T10:00:10Z,Jean-Yves Alric,Presse-citron,"Rachat d’Activision par Microsoft : sonné, Sony est-il KO ?","Le titre de Sony a accusé le coup aujourd’hui à la Bourse de Tokyo, mais la firme nippone n’a pas dit son dernier mot."
2022-01-08T04:00:36Z,Reuters,The Guardian,Cambodian PM Hun Sen’s visit with Myanmar military chief sparks protests,"Critics fear Hun Sen’s meeting with military ruler Min Aung Hlaing gives legitimacy to the ruling juntaCambodian prime minister Hun Sen has met Myanmar’s military ruler Min Aung Hlaing, amid criticism of the first visit by a head of government since the army …"
2022-01-24T10:00:00Z,AoiroStudio,Abduzeedo.com,Daily NFT Spotlight — The Art of Griff,"Daily NFT Spotlight — The Art of Griff
 


 AoiroStudio0124—22
 Fabio shared with me the work of Girff for the 'Daily NFT Spotlight' and here it is! What a sublime series of work, I think we have featured Griff in our NFTs of the Week as well. Let's take a lo…"
2022-01-11T00:01:10Z,Xe Iaso,Christine.website,"You Win, Broken Database Schemas",Posted on 2022-01-10
2022-01-14T08:30:46Z,TMZ Staff,TMZ,Francis Ngannou Predicts Ciryl Gane KO In Under 2 Rounds,Make sure you take your seats early when Francis Ngannou and Ciryl Gane step in the Octagon on January 22 ... 'cause The Predator tells TMZ Sports he's putting the undefeated UFC fighter down inside 2 rounds!! We recently talked to the 35-year-old…
2021-12-30T16:18:53Z,Martha Bellisle / AP,Time,Children in the U.S. Are Being Hospitalized With COVID-19 in Near-Record Numbers,"Cases are expected to rise even faster once schools reopen after the winter holiday, sparking further concerns over the impact of the Omicron variant on unvaccinated kids."
2022-01-23T08:30:48Z,Alix Petit,Presse-citron,Box internet : SFR met ses rivaux KO. Son offre est folle,"La box Internet Fibre de SFR s'affiche à moins de 20 euros par mois ce week-end. Si vous recherchez une nouvelle formule avec une connexion rapide ainsi que la TV et les appels en illimité pour un prix doux, c'est une très belle occasion."
2022-01-06T14:00:37Z,BJ Colangelo,/FILM,How Project A-Ko's Perfect Edition Saved An Anime Classic,"Thirty-seven years ago, ""Project A-ko"" premiered in Japanese movie theaters, and its legacy far surpassed what anyone involved in the making ever anticipated. The film gets its name from the Jackie Chan film ""Project A,"" and was originally supposed to be an e…"
2022-01-21T18:55:11Z,Marc Raimondi,ESPN,"Ngannou, Gane make weight for unification bout",The heavyweight unification fight that will serve as the main event for UFC 270 is official after Francis Ngannou and Ciryl Gane both made weight ahead of Saturday night's bout.
2021-12-30T17:05:58Z,AP,HuffPost,U.S. Children Hospitalized With COVID In Near-Record Numbers,The omicron-fueled surge that is sending COVID-19 cases rocketing in the U.S. is putting children in the hospital in close to record numbers.
2022-01-03T06:00:02Z,LAURAN NEERGAARD and CARLA K. JOHNSON,Yahoo Entertainment,How will pandemic end? Omicron clouds forecasts for endgame,"Pandemics do eventually end, even if omicron is complicating the question of when this one will.  The ultra-contagious omicron mutant is pushing cases to all..."
