 published_at , author ,source_name,title ,description
2022-01-18T15:14:32Z,Jon Fingas,Engadget,Microsoft Game Pass tops 25 million subscribers,"Microsoft's bid for Activision Blizzard may be the highlight of the day, but the company also revealed a major milestone for its Game Pass service in the process. The all-you-can-play offering now has over 25 million subscribers, a nearly 39 percent jump over…"
2022-01-21T10:22:25Z,Steve Dent,Engadget,Blizzard chief promises to 'rebuild trust' ahead of Microsoft takeover,"Blizzard Entertainment boss Mike Ybarra has promised in a blog post to ""rebuild your trust"" in the studio, marking his first comments since Microsoft's proposed $68.7 billion acquisition of Blizzard Activision. The developer of blockbuster titles like World o…"
2022-01-13T15:21:22Z,Kris Holt,Engadget,Microsoft is no longer making Xbox One consoles,"Microsoft and Sony are struggling to keep up with demand for the Xbox Series X and PlayStation 5. While Sony plans to keep manufacturing the PlayStation 4 for the time being to make up for its shortfall of current-gen consoles, the Xbox One is no more.We lear…"
2022-01-18T13:36:37Z,Jon Fingas,Engadget,Microsoft is buying Activision Blizzard for $68.7 billion,"Microsoft just made one of the largest-ever bids for a game studio. The company has announced plans to acquire Activision Blizzard for $95 per share, valuing the all-cash deal at an enormous $68.7 billion. The deal would make the combined entity the ""third-la…"
2022-01-20T11:00:08Z,"Michael Barbaro, Daniel Guillemette, Rachelle Bonja, Eric Krupke, Luke Vander Ploeg, Mike Benoist, Lisa Chow, Dan Powell, Marion Lozano and Elisheba Ittoop",New York Times,Microsoft and the Metaverse,"Why are so many major companies investing in this new digital world — and what is it, anyway?"
2022-01-05T11:00:00Z,Lily Hay Newman,Wired,Hackers Are Exploiting a Flaw Microsoft Fixed 9 Years Ago,"Unless you go out of your way to install the patch, your system could be exposed."
2022-01-19T11:53:00Z,noreply@blogger.com (Unknown),Blogspot.com,Microsoft to gobble up Activision in $69 billion metaverse bet,"<table><tr><td></td></tr><tr><td> (Mike Blake, Reuters)
</td></tr>
</table>Microsoft Corp (MSFT.O) is buying ""Call of Duty"" maker Activision Blizzard (ATVI.O) for $68.7 billion in the biggest gaming industry deal in history as global technology giants stake…"
2022-01-16T10:57:00Z,noreply@blogger.com (Unknown),Blogspot.com,Microsoft discloses malware attack on Ukraine govt networks,"<table><tr><td></td></tr><tr><td>In this undated handout photo released by Ukrainian Foreign Ministry Press Service, the building of Ukrainian Foreign Ministry is seen during snowfall in Kyiv, Ukraine. Ukrainian officials and media reports say a number of gov…"
2022-01-11T13:49:00Z,noreply@blogger.com (Unknown),Blogspot.com,"Microsoft Discovered New 'Powerdir' macOS Vulnerability, Fixed in 12.1 Update","This morning, Microsoft's 365 Defender research team released details of a new macOS ""Powerdir""  vulnerability that allows an attacker to bypass transparency, consent, and control technology to gain unauthorized access to protected data. 
Apple has already f…"
2022-01-20T12:33:00Z,noreply@blogger.com (Unknown),Blogspot.com,Microsoft-Activision deal gives merger speculators a new darling,"<table><tr><td></td></tr><tr><td></td><td>Microsoft logo is seen on a smartphone placed on displayed Activision Blizzard logo in this illustration taken January 18, 2022. REUTERS/Dado Ruvic/Illustration</td></tr>
</table>Hedge funds, which make profits by sp…"
2022-01-23T12:00:00Z,David Nield,Wired,Now Is a Good Time to Update Your Recovery Email Addresses,You know those “emergency” email addresses you can use to get into your email and other accounts in case you're locked out? Make sure they're up-to-date.
2022-01-20T22:26:02Z,Jay Peters,The Verge,Microsoft Gaming CEO Phil Spencer wants to ‘keep Call of Duty on PlayStation’,A tweet from Microsoft Gaming CEO Phil Spencer suggests that Call of Duty games might still come to PlayStation consoles even after Microsoft’s acquisition of Activision.
2022-01-04T15:44:52Z,Tom Warren,The Verge,AMD beats Intel with first CPUs that have Xbox-like security for Windows,AMD’s new Ryzen 6000 processors are the first with Microsoft Pluton security chips. AMD has beaten Intel to include Xbox-like security for its Windows laptops.
2022-01-26T02:34:45Z,Mitchell Clark,The Verge,Microsoft got a whole lot of people to play Halo and Forza,"Microsoft has attracted a lot of players to the latest entries in some of its flagship series by removing the up-front cost. Halo Infinite has had 20 million players, and Forza Horizon 5 has had 18 million."
2021-12-30T00:58:11Z,Umar Shakir,The Verge,Tom Brady says the next sideline Surface he yeets will cost him,Tom Brady shared on his Let’s Go podcast Monday that he was warned by the NFL for throwing a Microsoft Surface during a game against the Saints. Now Brady promises never to do it again.
2022-01-01T15:30:43Z,Dana Wollman,Engadget,Microsoft's Xbox Elite Series 2 controller is $40 off right now,"If you're still in the mood for some post-holiday gifts-to-self, Microsoft has cut the price on its high-end Xbox Elite Series 2 controller to $140. That's almost as low as the Black Friday price of $135, in case you missed out on that sale in late November. …"
2022-01-14T10:54:29Z,Tom Warren,The Verge,Microsoft commissions third-party review of its harassment and discrimination policies,"Microsoft’s board of directors are hiring a third-party law firm to review the company’s harassment and discrimination policies. It comes after years of complaints at the company, and how it handles such cases."
2022-01-18T13:48:58Z,The New York Times,New York Times,Microsoft Agrees to Buy Activision Blizzard for Nearly $70 Billion,"With the deal, the largest in the software maker’s history, Microsoft will gain Activision’s nearly 400 million monthly users and access to some of the world’s most popular games."
2022-01-16T15:02:25Z,Andy Greenberg,Wired,Destructive Hacks Against Ukraine Echo Its Last Cyberwar,A data wiper posing as ransomware bears a discomfiting resemblance to the earlier wave of Russian cyberattacks that ended with NotPetya.
2021-12-27T14:30:00Z,Stephen Johnson,Lifehacker.com,10 Free Apps and Games to Play on Your New VR Headset,"If your holiday haul included a VR rig, but your own gift-giving left you broke, do not despair. These ten free apps and games will provide many hours of virtual reality fun at no cost to you.Read more..."
