 published_at , author ,source_name,title ,description
2022-01-03T16:40:13Z,Zacks Equity Research,Zacks.com,TGNA vs. NFLX: Which Stock Is the Better Value Option?,TGNA vs. NFLX: Which Stock Is the Better Value Option?
2022-01-13T20:00:49Z,Zacks Equity Research,Zacks.com,Earnings Preview: Netflix (NFLX) Q4 Earnings Expected to Decline,Netflix (NFLX) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.
2022-01-05T20:33:00Z,Mark Vickery,Zacks.com,"Top Analyst Reports for JPMorgan, Toyota & Netflix","Today's Research Daily features new research reports on 16 major stocks, including JPMorgan Chase & Co. (JPM), Toyota Motor Corp. (TM) and Netflix, Inc. (NFLX)."
2022-01-04T20:21:51Z,Dipanjan Banchur,StockNews.com,These are the 2 Worst Performing FAANG Stocks of 2021,"The FAANG stocks are known for their market dominance and generating steady returns irrespective of market conditions. However, FAANG components Amazon (AMZN) and Netflix (NFLX) underperformed the market last year...."
2022-01-24T14:44:46Z,Pragya Pandey,StockNews.com,Should You Buy the Dip in Netflix?,"Streaming giant Netflix (NFLX) remains among the top entertainment streaming platforms worldwide. However, its stock dipped nearly 21% in price last week after the company reported its fiscal fourth-quarter earnings..."
2022-01-11T21:36:00Z,Benjamin Rains,Zacks.com,Buy Netflix Stock Now Ahead of Earnings at a Huge Discount?,Netflix stock has tumbled alongside many growth names since November and to start 2022. The big pullback is only part of the reason why the streaming TV stock might be...
2022-01-13T17:49:25Z,"Paul R. La Monica, CNN Business",CNN,Racing legend Michael Andretti is taking a spin on Wall Street,"Auto racing is arguably hotter than ever, thanks in part to the super popular Netflix series ""Drive to Survive,"" which has given viewers an intimate, behind the scenes look at the Formula 1 racing circuit."
2022-01-11T16:09:00Z,Zacks Equity Research,Zacks.com,Apple (AAPL) Reportedly Discussing Streaming Deal with MLB,Apple (AAPL) is reportedly discussing a deal with Major League Baseball to stream weekday national games via its Apple TV+ streaming service.
2022-01-21T10:00:30Z,newsfeedback@fool.com (Motley Fool Transcribing),Motley Fool,Netflix (NFLX) Q4 2021 Earnings Call Transcript,"NFLX earnings call for the period ending December 31, 2021."
2022-01-24T19:15:00Z,Sanghamitra Saha,Zacks.com,"Forget Amazon, Buy 5 Reopening-Friendly Consumer ETFs Instead",Amazon???s shares slumped 12% last week as investors are focusing more on reopening-friendly stocks and ETFs.
2022-01-24T18:00:00Z,Sanghamitra Saha,Zacks.com,Cybersecurity ETFs Win in Nasdaq's Worst Week Since 2020,"The Nasdaq plunged 7.6% last week, marking in its worst week since March 2020. Still, there were some tech ETFs that lost little last week. These ETFs were cybersecurity ETFs."
2022-01-20T10:33:00Z,Steve Goldstein,MarketWatch,Market Snapshot: ‘Bear squeeze?’ U.S. stock futures rise after recent weak spell,"U.S. stock futures turned higher Thursday, as investors debate how far the retreat in equities will go as bond yields surge."
2022-01-25T19:48:00Z,Daniel Laboe,Zacks.com,S&P 500 Corrects Ahead Of Fed Meeting: Let's Check The Technicals,It's been a crazy start to what is expected to be the most pivotal week of Q1 market action.
2022-01-21T18:20:15Z,J. Samuel,Penny Stocks,The Stock Market is Down Today: Here’s Why & 3 Penny Stocks To Watch,Here's why the stock market is down today &#038; 3 penny stocks going against the trend.
2022-01-25T16:10:00Z,Philip van Doorn,MarketWatch,Deep Dive: You can still find a haven in tech stocks: These 20 offer the safety net of highly stable profits,"Investors are running away from risky stocks of companies that aren't yet profitable, including some high-flyers."
2022-01-21T11:49:00Z,Steve Goldstein,MarketWatch,Need to Know: Here’s one asset in an ‘up crash’ — and the stocks tied to it are lagging behind the move,"Thanks to explosive EV demand, and constrained supplies, lithium prices are surging."
2022-01-14T20:32:00Z,"Jeremy C. Owens, , Jon Swartz",MarketWatch,": Netflix increasing prices, standard plan to top $15 a month; stock jumps","Netflix Inc. plans to raise its rates for streaming subscriptions in the U.S. and Canada for the second time during the COVID-19 pandemic, which led to huge early subscriber growth for the company that slowed down in 2021."
2022-01-23T12:46:39Z,Kevin George,Seeking Alpha,Netflix Just Sent The Market A Warning,Netflix (NFLX) reported Q4 earnings and the stock sold-off. Read more to see why I think NFLX stock's valuation is now reasonable and in the buy range.
2022-01-21T10:00:37Z,himasoku123,Himasoku.com,【朗報】ネットフリックス　株価20％暴落,"1: 三毛(神奈川県) [JP] 2022/01/21(金) 12:06:54.00 ID:Ml8isAtW0● BE:128776494-2BP(10500)
405.50 -102.75 (-20.22%) https://finance.yahoo.com/quote/NFLX/ 






12: 三毛(神奈川県) [JP] 2022/01/21(金) 12:09:48.85 ID:Ml8isAtW0
 ダダーン　 

3: ソマリ..."
2022-01-21T01:47:00Z,Therese Poletti,MarketWatch,"MarketWatch First Take: Netflix admits that it is time to grow up, but Wall Street isn’t happy about it","Streaming service admits competition is hurting growth while making changes to address a new stage in the life of one of Silicon Valley’s success stories, but investors are slamming the stock"
