 published_at , author ,source_name,title ,description
2021-12-28T23:20:50Z,Jaimini Desai,StockNews.com,Electric Vehicle Industry Report for 2022,"Sales of electric vehicles (EVs) have been skyrocketing and forecasts predict that sales will exponentially grow over the next decade. As a result, EV stocks, such as NIO (NIO) and..."
2022-01-10T15:22:17Z,Aditya Raghunath,StockNews.com,NIO vs. XPeng: Which Chinese Electric Vehicle Stock Is a Better Pick for 2022?,"NIO (NIO) and XPeng (XPEV) are two China-based electric vehicle giants that are poised to outpace the broader markets in 2022. Both these stocks are trading significantly below all-time highs,..."
2021-12-30T10:17:00Z,Zacks Equity Research,Zacks.com,"The Zacks Analyst Blog Highlights: Apple, Abbott Laboratories, Infosys, General Motors and NIO","The Zacks Analyst Blog Highlights: Apple, Abbott Laboratories, Infosys, General Motors and NIO"
2022-01-02T19:30:00Z,noreply@blogger.com (Unknown),Blogspot.com,China to cut new energy vehicle subsidies by 30% in 2022,"<table><tr><td></td></tr><tr><td>Image Credit: REUTERS/Aly Song</td></tr>
</table>China will cut subsidies for New Energy Vehicles (NEVs) such as electric cars by 30% in 2022 and withdraw them all by the end of the year, the Treasury Department said on its w…"
2022-01-04T01:32:00Z,,Reuters,Nio's European road trip will earn bragging rights - Reuters,"Chinese electric-car maker Nio <a href=""https://www.reuters.com/companies/NIO.N"" target=""_blank"">(NIO.N)</a> will burnish its brand with an expedition to Europe <a href=""/business/autos-transportation/chinas-electric-carmakers-make-their-move-europe-2021-09-3…"
2022-01-11T13:56:00Z,Investor's Business Daily,Investor's Business Daily,"Tesla Stock Rises As China Sales Topped 70,000 In December - Investor's Business Daily","<ol><li>Tesla Stock Rises As China Sales Topped 70,000 In December  Investor's Business Daily
</li><li>Tesla sold a record 70847 China-made vehicles in December  The Globe and Mail
</li><li>Tesla posts record numbers in China by selling 70,602 vehicles loca…"
2022-01-03T13:49:00Z,,Reuters,"Tesla, McDonald's, Wolfspeed - Reuters","Futures tracking the S&P 500 neared record levels on Monday as Wall Street looked to extend a recovery from the pandemic shock into the new year, while shares in heavyweight Tesla jumped after the electric carmaker posted bumper delivery numbers."
2022-01-03T15:58:00Z,,Reuters,"Tesla, Armstrong Flooring, Carnival Corp, BlueCity - Reuters","U.S. stock indexes inched higher on Monday, looking to extend a market recovery from the pandemic shock into the new year, while shares in heavyweight Tesla jumped after the electric carmaker posted bumper delivery numbers."
2022-01-11T03:24:00Z,,Reuters,Volkswagen says it sold 70625 ID electric cars in China in 2021 - Reuters,"Volkswagen AG <a href=""https://www.reuters.com/companies/VOWG_p.DE"" target=""_blank"">(VOWG_p.DE)</a> sold 70,625 of its ID electric vehicles in China last year, missing its goal of selling 80,000 to 100,000 cars, the company said on Tuesday."
2022-01-03T16:00:00Z,,Reuters,"BUZZ Tesla charged up after record deliveries, other EV stocks also rise - Reuters","** Shares of EV maker Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> jump 9.35% to $1,155.55, set for best day since October"
2021-12-29T00:01:06Z,Tom Ambrose,The Guardian,Tony Blair considered asking Queen to open Stormont assembly,"Then PM raised idea of monarch opening assembly but accepted it was ‘delicate issue’, newly released papers revealTony Blair considered asking the Queen to open the newly formed Northern Ireland assembly in 1998, newly released state papers show.A letter from…"
2021-12-27T15:21:00Z,,Reuters,BUZZ Chinese stocks mixed as Beijing proposes tighter regulations - Reuters,"** Chinese government will require that domestic firms in sectors off-limits to foreign direct investment receive clearances before they can list their shares offshore <a href=""/world/china/china-tightens-scrutiny-offshore-listings-sectors-off-limits-foreign-…"
2022-01-14T14:22:00Z,,Reuters,"Gen Z investors shift focus from 'meme-stocks' to the 'metaverse,' report shows - Reuters","Enthusiasm around ""meme stocks"" has eased for young investors a year on from the GameStop Corp <a href=""https://www.reuters.com/companies/GME.N"" target=""_blank"">(GME.N)</a> trading frenzy, with Gen Z's attention shifting to companies in areas like electric ve…"
2022-01-04T17:15:00Z,,Reuters,Chinese EV startups turn to Nvidia in the race to catch Tesla - Reuters,"U.S. high performance chip maker Nvidia Corp <a href=""https://www.reuters.com/companies/NVDA.O"" target=""_blank"">(NVDA.O)</a> said Tuesday it has landed more deals with Chinese electric vehicle makers that want to use the company's technology to power software…"
2022-01-14T14:03:00Z,John McCrank,Reuters,"Gen Z investors shift focus from 'meme-stocks' to the 'metaverse,' report shows - Reuters","Enthusiasm around ""meme stocks"" has eased for young investors a year on from the GameStop Corp trading frenzy, with Gen Z's attention shifting to companies in areas like electric vehicles and the ""metaverse,"" according to a report released on Friday."
2022-01-10T23:09:00Z,,Reuters,Maserati to enter Formula E electric championship in 2023 - Reuters,"Maserati, Formula One winners with Juan Manuel Fangio in the 1950s, will compete in Formula E from 2023 as the first Italian brand to enter the electric world championship."
2021-12-28T06:37:16Z,https://www.facebook.com/bbcnews,BBC News,Secret Irish papers reveal scepticism on Troubles decommissioning,Irish state papers covering the build-up to the Good Friday Agreement have been published.
2022-01-26T16:00:04Z,Alberto de la Torre,Xataka.com,Tu coche eléctrico listo en tres minutos: China cree que el futuro pasa por el intercambio de baterías,"Con la tecnología del vehículo eléctrico por asentarse, cómo cargar las baterías sigue siendo uno de los puntos claves a la hora de dar el salto en la compra de un coche nuevo. Necesitar de un punto de recarga en casa o en el trabajo, planificar bien un viaje…"
2022-01-04T21:02:04Z,newsfeedback@fool.com (Neha Chamaria),Motley Fool,Why Nio Stock Slumped Today,News from Nio's home market and archrival are putting some investors in the electric vehicle stock on edge.
2022-01-02T13:17:00Z,newsfeedback@fool.com (Rekha Khandelwal),Motley Fool,Will Nio Recover in 2022?,The Chinese EV stock fell more than 40% in 2021.
