 published_at , author ,source_name,title ,description
2022-01-10T17:10:15Z,Zacks Equity Research,Zacks.com,Why the Earnings Surprise Streak Could Continue for Pfizer (PFE),Pfizer (PFE) has an impressive earnings surprise history and currently possesses the right combination of the two key ingredients for a likely beat in its next quarterly report.
2022-01-24T17:48:00Z,Zacks Equity Research,Zacks.com,"Pfizer's (PFE), OPKO's BLA for Somatrogon Gets CRL From FDA",The FDA issues a Complete Response Letter to Pfizer (PFE) and OPKO Health's biologics license application for somatrogon to treat growth hormone deficiency in pediatric patients.
2022-01-04T16:40:12Z,Zacks Equity Research,Zacks.com,PFE vs. RHHBY: Which Stock Should Value Investors Buy Now?,PFE vs. RHHBY: Which Stock Is the Better Value Option?
2022-01-24T12:18:00Z,Zacks Equity Research,Zacks.com,Best Growth Stocks to Buy for January 24th,"WLK, PFE, and M made it to the Zacks Rank #1 (Strong Buy) growth stocks list on January 24, 2022"
2022-01-17T12:25:00Z,Zacks Equity Research,Zacks.com,Best Growth Stocks to Buy for January 17th,"PFE, M, and ACN made it to the Zacks Rank #1 (Strong Buy) growth stocks list on January 17, 2022"
2022-01-21T12:28:00Z,Zacks Equity Research,Zacks.com,Best Growth Stocks to Buy for January 21st,"PFE, M, and ARCB made it to the Zacks Rank #1 (Strong Buy) growth stocks list on January 21, 2022"
2022-01-04T15:50:00Z,Zacks Equity Research,Zacks.com,"Pfizer, BioNTech Booster Gets FDA Nod for 12 to 15-Year Olds",FDA authorizes the booster shot of Pfizer (PFE) and BioNTech's (BNTX) COVID-19 vaccine for adolescents 12 through 15 years of age.
2022-01-07T21:49:00Z,Zacks Equity Research,Zacks.com,Novartis (NVS) Partners With Alnylam for Liver-Targeted Therapies,Novartis (NVS) partners with Alnylam (ALNY) to collaborate on the discovery and the development of siRNA-based targeted therapy to restore functional liver cells.
2022-01-07T11:07:00Z,Zacks Equity Research,Zacks.com,"Zacks Investment Ideas feature highlights: AbbVie, Inc. and Pfizer Inc","AbbVie, Inc. and Pfizer Inc are highlighted in this investment idea article."
2022-01-13T18:43:00Z,Tracey Ryniec,Zacks.com,The Value Investor's Secret Weapon: The PEG Ratio,Why not buy top value stocks that also have growth?
2022-01-14T16:34:00Z,Zacks Equity Research,Zacks.com,Ascendis' (ASND) TransCon hGH Gets EU Nod for Pediatric GHD,Ascendis Pharma (ASND) gets nod in Europe for TransCon hGH for the treatment of pediatric growth hormone deficiency.
2022-01-18T18:48:00Z,Neena Mishra,Zacks.com,Why You Should Invest in Dividend Growth ETFs Now,We highlight 3 ultra-cheap ETFs that focus on high quality dividend payers
2022-01-11T09:03:00Z,Zacks Equity Research,Zacks.com,"Exelixis (EXEL) Announces Preliminary Q4 Results, Issues View (Revised)",Exelixis (EXEL) provides preliminary results for the fourth quarter and outlines priorities for 2022.
2022-01-11T16:37:00Z,Zacks Equity Research,Zacks.com,"Molecular (MOLN), Novartis Post Positive Data From COVID-19 Drug","Molecular (MOLN) and Novartis announce encouraging data from a phase II study for ensovibep (MP0420), a DARPin antiviral therapeutic for COVID-19. Shares of Molecular Partners gain on the same."
2022-01-06T18:11:00Z,"Sweta Jaiswal, FRM",Zacks.com,Materials ETF (VAW) Hits a 52-Week High,The Vanguard Materials ETF (VAW) hits a new 52-week high. Are more gains in store?
2022-01-04T17:29:00Z,Sheraz Mian,Zacks.com,"Top Stock Reports for Meta Platforms, Bank of America & Mastercard","Today's Research Daily features new research reports on 16 major stocks, including Meta Platforms, Inc. (FB), Bank of America Corporation (BAC), and Mastercard Incorporated (MA)."
2022-01-21T05:06:00Z,Zacks Equity Research,Zacks.com,Sanofi (SNY) 2nd Dupixent Prurigo Nodularis Study Meets Goal (Revised),Sanofi's (SNY) PRIME is the second successful study on Dupixent for the prurigo nodularis indication.
2021-12-28T20:08:00Z,Zacks Equity Research,Zacks.com,Can Veklury Sales Retain Momemtum for Gilead (GILD) in 2022?,"Solid sales from Veklury cushion Gilead (GILD) in 2021 amid COVID-19. However, new oral antivirals in the market might hurt sales. GILD now shifts focus to oncology as the virology..."
2021-12-28T16:05:01Z,CBS News Videos,Yahoo Entertainment,"Doctor on increase in kids hospitalized for COVID-19, CDC shortening isolation guidance","The U.S. is seeing an increasing number of children hospitalized due to COVID-19. Dr. Dyan Hes, founder of Gramercy Pediatrics in New York City, spoke with..."
2022-01-07T17:24:00Z,Zacks Equity Research,Zacks.com,Aligos (ALGS) Stock Down on Hepatitis Drug Development Halt,"Aligos Therapeutics' (ALGS) phase I study evaluating its chronic hepatitis B candidate, ALG-010133, did not achieve sufficient activity against the disease."
