 published_at , author ,source_name,title ,description
2022-01-05T21:13:00Z,noreply@blogger.com (Unknown),Blogspot.com,"Pfizer, BioNTech to jointly develop shingles vaccine","<table><tr><td></td></tr><tr><td>Pfizer headquarters in New York.
Getty Images
</td></tr>
</table>Pfizer and Germany's BioNTech announced on Wednesday that they would develop a potential mRNA-based vaccine for the prevention of viral  shingles, working tog…"
2022-01-06T19:00:00Z,Beth Skwarecki,Lifehacker.com,Here’s When to Get Your Older Kids Their Booster Shot,"Teenagers are now eligible for booster doses of their COVID-19 vaccine, the CDC has announced. Until now, boosters were only for adults aged 18 and up. Children with weakened immune systems can now also get a third primary dose, even if they are not old enoug…"
2021-12-31T07:27:00Z,noreply@blogger.com (Unknown),Blogspot.com,F.D.A. Plans to Allow 12- to 15-Year-Olds to Receive Pfizer Boosters,"The Food and Drug Administration to authorize booster doses of Pfizer-BioNTech's coronavirus vaccine for 12- to 15-year-olds Monday. (Emily Elconin, Reuters)The United States Food and Drug Administration should receive a booster injection of the Pfizer vaccin…"
2022-01-17T12:33:00Z,noreply@blogger.com (Unknown),Blogspot.com,Pfizer CEO: Virus will be here for years but this may be last wave with restrictions,"<table><tr><td></td></tr><tr><td>Pfizer CEO Albert Bourla speaks during a ceremony in Thessaloniki, Greece, on October 12, 2021. (AP Photo/Giannis Papanikos, File)</td></tr>
</table>Pfizer CEO Albert Bourla said on Monday that while the ""most likely scenario…"
2022-01-20T00:06:51Z,https://www.facebook.com/bbcnews,BBC News,Covid: Did Pfizer's boss cast doubt on his own vaccine?,Misleading posts about the Pfizer vaccine's protection against Omicron took the drug company's boss out of context.
2022-01-25T16:57:08Z,https://www.facebook.com/bbcnews,BBC News,Pfizer and BioNTech announce trials of new Omicron jab,Pfizer and BioNTech have adapted their original vaccine to target the fast-spreading variant.
2022-01-23T12:09:00Z,noreply@blogger.com (Unknown),Blogspot.com,People with this certain gene version less likely to develop severe COVID-19,"<table><tr><td></td></tr><tr><td></td></tr>
</table>The new results show that people with a specific version of a gene are less likely to develop severe COVID-19. Earlier research had identified a specific group of genes, called the OAS1/2/3 gene cluster, as…"
2022-01-26T12:00:00Z,Matt Jancer,Wired,How to Get a Covid-19 Booster Shot,Here is everything you need to know about finding and receiving the booster shot in the age of Omicron.
2021-12-30T17:48:44Z,Sharon LaFraniere and Noah Weiland,New York Times,F.D.A. Plans to Allow 12- to 15-Year-Olds to Receive Pfizer Boosters,Regulators will also allow even younger children with immune deficiencies to get an extra shot.
2021-12-31T12:23:00Z,noreply@blogger.com (Unknown),Blogspot.com,PFIZER’S COVID-19 SHOT CAUSES MOSTLY MILD SIDE EFFECTS IN YOUNG KIDS’,"İmage Credit: ReutersPfizer Inc and BioNTech SE's COVID-19 vaccine mainly caused  mild side effects in children ages 5 to 11, according to data published by the U.S Centers for Disease Control and Prevention.The data showed that some children were affected af…"
2022-01-13T12:53:00Z,noreply@blogger.com (Unknown),Blogspot.com,AstraZeneca says third dose helps against Omicron,"<table><tr><td></td></tr><tr><td>A test tube labelled with the Vaccine is seen in front of AstraZeneca logo in this illustration taken, September 9, 2020. REUTERS/Dado Ruvic/Illustration</td></tr>
</table>AstraZeneca said on Thursday that preliminary data fr…"
2022-01-25T17:52:10Z,Reuters Editorial,Reuters,"Pfizer, BioNTech start testing Omicron vaccine - Reuters.com","Pfizer and BioNTech said on Tuesday they started a clinical trial to test a new version of their vaccine specifically designed to target the COVID-19 Omicron variant, which has eluded some of the protection provided by the original two-dose vaccine regimen. F…"
2022-01-25T22:00:00Z,Herb Scribner,Deseret News,Is there an omicron variant COVID vaccine? Pfizer starts a trial - Deseret News,"<ol><li>Is there an omicron variant COVID vaccine? Pfizer starts a trial  Deseret News
</li><li>Pfizer-BioNTech launch trial of Omicron-targeted COVID-19 vaccine  CBC News
</li><li>Pfizer announces trials for omicron-specific booster  ABC News
</li><li>Cor…"
2022-01-25T11:52:55Z,,STAT,"As Pfizer and BioNTech begin clinical trial of Omicron-based vaccine, timeline to authorization is unclear - STAT","<ol><li>As Pfizer and BioNTech begin clinical trial of Omicron-based vaccine, timeline to authorization is unclear  STAT
</li><li>Pfizer-BioNTech launch trial of Omicron-targeted COVID-19 vaccine  CBC News
</li><li>Coronavirus: Pfizer studying updated Omicr…"
2022-01-07T03:12:00Z,,Reuters,'Paramount importance': Judge orders FDA to hasten release of Pfizer vaccine docs - Reuters,'Paramount importance': Judge orders FDA to hasten release of Pfizer vaccine docs  Reuters
2021-12-28T18:30:00Z,Meredith Dietz,Lifehacker.com,"What to Know About the CDC’s New, Shorter Isolation Guidelines","As Omicron cases continue to surge in the U.S., the the Centers for Disease Control and Prevention is shortening the recommended time for isolation from 10 days to five days for anyone who has tested positive for COVID-19—as long as they are asymptomatic. Aft…"
2022-01-03T15:22:00Z,,Castanet.net,FDA expands Pfizer boosters for more teens as omicron surges - World News - Castanet.net,"<ol><li>FDA expands Pfizer boosters for more teens as omicron surges - World News  Castanet.net
</li><li>U.S. FDA backs Pfizer COVID-19 booster shot for 12- to 15-year-olds  CBC News
</li><li>Pfizer vaccine has mostly mild side-effects in kids: CDC  CTV New…"
2022-01-03T15:18:12Z,,CP24 Toronto's Breaking News,FDA expands Pfizer boosters for more teens as omicron surges - CP24 Toronto's Breaking News,"<ol><li>FDA expands Pfizer boosters for more teens as omicron surges  CP24 Toronto's Breaking News
</li><li>Pfizer vaccine has mostly mild side-effects in kids: CDC  CTV News
</li><li>FDA expands Pfizer boosters for more teens as omicron surges - World News…"
2022-01-10T11:00:00Z,,Reuters,Pfizer joins Beam Therapeutics to develop rare disease therapies - Reuters,"Drugmaker Pfizer <a href=""https://www.reuters.com/companies/PFE.N"" target=""_blank"">(PFE.N)</a> will collaborate with gene-editing specialist Beam Therapeutics <a href=""https://www.reuters.com/companies/BEAM.O"" target=""_blank"">(BEAM.O)</a> in a deal worth as m…"
