 published_at , author ,source_name,title ,description
2021-12-29T19:06:12Z,Jon Fingas,Engadget,T-Mobile pins latest data breach on SIM swapping,"T-Mobile is still suffering from data breaches, although its latest headache may be more reflective of the phone business at large. The carrier has confirmed to Bleeping Computer that a recent data breach stemmed from SIM swapping attacks. Intruders compromis…"
2022-01-07T18:14:00Z,,Reuters,"Discovery, T-Mobile, NYT, Texas Instruments - Reuters","Wall Street's main indexes were mixed in choppy trading on Friday after data pointed to weaker-than-expected job growth last month, further fueling bets of an aggressive monetary policy tightening by the Federal Reserve."
2022-01-07T15:51:00Z,,Reuters,"Discovery, GameStop, T-Mobile, NYT - Reuters","Wall Street's main indexes were muted on Friday after data pointed to weaker-than-expected job growth last month, while banking shares extended gains and battered technology stocks bounced from sharp declines suffered this week."
2021-12-28T22:42:02Z,Samuel Contreras,Android Central,T-Mobile reportedly closes out the year with yet another data breach,"What you need to know


Some T-Mobile customers have reportedly been notified of unauthorized activity on their accounts.
Internal T-Mobile documents show that ""unknown actors"" had access to customers' personal information including the account number, name, …"
2022-01-17T21:19:19Z,Igor Bonifacic,Engadget,US airlines warn C-Band 5G could cause 'catastrophic disruption',"The airline industry claims a “catastrophic” event could unfold on Wednesday when AT&T and Verizon activate their new C-Band 5G networks. In a letter obtained by Reuters
, the CEOs of several prominent passenger and cargo airlines, including Delta, United an…"
2022-01-18T22:32:33Z,Samuel Contreras,Android Central,AT&T and Dish outspend T-Mobile in Andromeda auction for mid-band spectrum,"What you need to know


FCC's Auction 110 concluded in November 2021 with nearly $22 billion in bids for the mid-band spectrum.
AT&T was the biggest winner with $9 billion in winning bids leading Dish Network with $7.3 billion. 
There is 100MHz available betw…"
2022-01-18T23:23:22Z,Samuel Contreras,Android Central,T-Mobile is the top performer in every category according to Ookla report,"What you need to know


Ookla's Q4 2021 mobile report finds T-Mobile to be the clear winner in speed, latency, consistency, and 5G availability.
T-Mobile had the fastest median download speeds at 90.65Mbps compared to AT&T at just 49.25Mbps and Verizon at 44.…"
2022-01-07T17:26:00Z,Zacks Equity Research,Zacks.com,T-Mobile (TMUS) Expands Its Partnership With Crown Castle,The deal enables T-Mobile (TMUS) to expand the reach of its industry-leading 5G network serving more customers across the country.
2021-12-28T17:00:29Z,Steve Dent,Engadget,Samsung's latest C-Lab projects include a smart guitar with LED guides,"As it does every year around this time, Samsung has unveiled its C-Lab incubator projects for CES 2022, with the aim to gauge customer response and further advance the most promising ideas. The star of the show this year is ZamStar, a guitar and app combo des…"
2022-01-13T21:46:26Z,Mitchell Clark,The Verge,The FCC proposes new data breach rules for phone companies,The FCC’s chairwoman has sent out a proposal that would eliminate rules requiring phone companies to wait over a week to notify customers of a data breach that contained their proprietary network information.
