 published_at , author ,source_name,title ,description
2021-12-29T19:06:12Z,Jon Fingas,Engadget,T-Mobile pins latest data breach on SIM swapping,"T-Mobile is still suffering from data breaches, although its latest headache may be more reflective of the phone business at large. The carrier has confirmed to Bleeping Computer that a recent data breach stemmed from SIM swapping attacks. Intruders compromis…"
2022-01-02T09:45:00Z,noreply@blogger.com (Unknown),Blogspot.com,"US officials ask AT&T, Verizon to delay 5G wireless",US Secretary of Transportation  Pete Buttigieg and the head of the Federal Aviation Administration (FAA) called on  AT&T and Verizon Communications on Friday to postpone the planned  introduction of the new 5G radio service for January 5th due to aviation saf…
2022-01-24T17:01:39Z,Sam Rutherford,Engadget,AT&T is rolling out multi-gig fiber internet to more than 70 cities,"Following the activation of its C-band 5G network
 last week, AT&T is now upgrading its fiber-based broadband service with two new plans that top out at 2Gbps and 5Gbps, respectively. The company says its new multi-gig fiber broadband will be available in mo…"
2022-01-17T21:19:19Z,Igor Bonifacic,Engadget,US airlines warn C-Band 5G could cause 'catastrophic disruption',"The airline industry claims a “catastrophic” event could unfold on Wednesday when AT&T and Verizon activate their new C-Band 5G networks. In a letter obtained by Reuters
, the CEOs of several prominent passenger and cargo airlines, including Delta, United an…"
2022-01-18T18:17:14Z,https://www.facebook.com/bbcnews,BBC News,AT&T agrees another 5G delay at US airports,"Airlines have pushed for postponement, saying risks from 5G will force them to cancel flights."
2022-01-26T12:45:04Z,Zacks Equity Research,Zacks.com,AT&T (T) Q4 Earnings and Revenues Top Estimates,"AT&T (T) delivered earnings and revenue surprises of 2.63% and 1.33%, respectively, for the quarter ended December 2021. Do the numbers hold clues to what lies ahead for the stock?"
2022-01-04T17:45:00Z,Shoshana Wodinsky,Gizmodo.com,"AT&T, Verizon Delay Their 5G Rollout Plans Over Fears of Airline Interference","On Sunday, AT&T and Verizon heartily rejected requests from the U.S. government to delay the rollout of their 5G wireless services on the grounds that the tech could interfere with nearby airliners. Now, just a day later, it looks like the telco giants are re…"
2022-01-04T03:19:42Z,David McCabe,New York Times,Verizon and AT&T Agree to Delay 5G Plans Over Airline Safety Concerns,The companies will wait two weeks and work with the government.
2022-01-18T22:32:33Z,Samuel Contreras,Android Central,AT&T and Dish outspend T-Mobile in Andromeda auction for mid-band spectrum,"What you need to know


FCC's Auction 110 concluded in November 2021 with nearly $22 billion in bids for the mid-band spectrum.
AT&T was the biggest winner with $9 billion in winning bids leading Dish Network with $7.3 billion. 
There is 100MHz available betw…"
2022-01-07T18:14:00Z,,Reuters,"Discovery, T-Mobile, NYT, Texas Instruments - Reuters","Wall Street's main indexes were mixed in choppy trading on Friday after data pointed to weaker-than-expected job growth last month, further fueling bets of an aggressive monetary policy tightening by the Federal Reserve."
2022-01-05T15:59:00Z,,Reuters,"Salesforce, AT&T, Alibaba, Wayfair - Reuters","Wall Street's main indexes were mixed on Wednesday ahead of minutes from the Federal Reserve's December meeting, as investors swapped technology stocks for cyclicals that stand to benefit from a high interest rate environment."
2022-01-07T15:51:00Z,,Reuters,"Discovery, GameStop, T-Mobile, NYT - Reuters","Wall Street's main indexes were muted on Friday after data pointed to weaker-than-expected job growth last month, while banking shares extended gains and battered technology stocks bounced from sharp declines suffered this week."
2022-01-05T02:55:00Z,,Reuters,"Japanese shares edge higher as gains in Toyota, Sony offset tech losses - Reuters","Japanese shares inched up on Wednesday, as gains in Toyota Motor <a href=""https://www.reuters.com/companies/7203.T"" target=""_blank"">(7203.T)</a> and Sony Group <a href=""https://www.reuters.com/companies/6758.T"" target=""_blank"">(6758.T)</a> were offset by weak…"
2021-12-28T22:42:02Z,Samuel Contreras,Android Central,T-Mobile reportedly closes out the year with yet another data breach,"What you need to know


Some T-Mobile customers have reportedly been notified of unauthorized activity on their accounts.
Internal T-Mobile documents show that ""unknown actors"" had access to customers' personal information including the account number, name, …"
