 published_at , author ,source_name,title ,description
2022-01-16T16:07:00Z,noreply@blogger.com (Unknown),Blogspot.com,"Tesla asked law firm to fire attorney who worked on Elon Musk probe at SEC, report says","<table><tr><td></td></tr><tr><td>Patrick Pleul | picture alliance | Getty Images</td></tr>
</table>A Tesla lawyer has asked a law firm to fire one of its lawyers or risk losing his job for the electric carmaker led by Elon Musk, The Wall Street Journal repor…"
2022-01-08T00:28:47Z,Bryan Menegus,Engadget,"Tesla will hike prices on self-driving mode, again","Tesla's ""full self-driving"" (FSD) feature has had something of a rocky history, to put things generously. It's been implicated in multiple crashes, seemingly persistent software bugs and a cavalcade of scrutiny from a panoply of regulatorybodies. Also, it's a…"
2021-12-29T20:56:00Z,noreply@blogger.com (Unknown),Blogspot.com,"Elon Musk sells another $1 billion in Tesla shares, nearing 10% target","Elon Musk, Tesla CEO, stands in the foundry of the Tesla Gigafactory during a press event.
Patrick Pleul | picture alliance | Getty Images
Elon Musk sold another $ 1.02 billion in Tesla Inc. stock, moving closer to his goal of reducing his stake in the elec…"
2022-01-14T13:36:00Z,noreply@blogger.com (Unknown),Blogspot.com,Tesla delays initial production of Cybertruck to early 2023 - source,"<table><tr><td></td></tr><tr><td>Image Credit:Jeenah Moon/Reuters</td></tr>
</table>Tesla Inc (TSLA.O) aims to start initial production of its long-awaited Cybertruck by the end of the first quarter of 2023, pushing plans to start production later this year,…"
2022-01-14T14:14:00Z,noreply@blogger.com (Unknown),Blogspot.com,Musk says Tesla to accept dogecoin for merchandise,"<table><tr><td></td></tr><tr><td> Representation of cryptocurrency Dogecoin is seen in this illustration taken November 29, 2021. REUTERS/Dado Ruvic/Illustration/File Photo</td></tr>
</table>Tesla Inc (TSLA.O) will accept the meme-based cryptocurrency dogeco…"
2022-01-03T12:27:00Z,noreply@blogger.com (Unknown),Blogspot.com,Tesla delivered close to one million vehicles in 2021,"<table><tr><td></td></tr><tr><td>Photo by James Bareham / The Verge</td></tr>
</table>Tesla Inc reported quarterly record shipments on Sunday  that far exceeded Wall Street estimates and exceeded a global chip shortage as China's production spiked.
It was t…"
2022-01-10T09:19:38Z,Steve Dent,Engadget,Tesla 'Full Self-Driving' beta features an 'Assertive' mode with rolling stops,"Profiles are back in Tesla's latest ""Full Self-Driving"" beta 10.3 with an ""Assertive Mode"" that may perform rolling stops and other borderline maneuvers, The Verge has reported. The update was originally released in October 2021 with three profiles (""Chill,"" …"
2022-01-04T16:16:00Z,noreply@blogger.com (Unknown),Blogspot.com,World's richest man gets $32BILLION richer: Elon Musk's worth climbs to $304billion as Tesla stock soars after car maker rolled out nearly a million vehicles in 2021,"<table><tr><td></td></tr><tr><td>Elon Musk and his son X Æ A-Xii at a Time Person of the Year event on 13 December 2021 in New York City(Theo Wargo/Getty Images for TIME)
</td></tr>
</table>The  richest man in the world started the richest new year  with Te…"
2022-01-12T18:42:39Z,Andrew J. Hawkins,The Verge,California is ‘revisiting’ Tesla’s Full Self-Driving beta in light of ‘dangerous’ videos,California’s Department of Motor Vehicles said it is weighing whether to regulate Tesla’s Full Self-Driving beta software under its autonomous vehicle regulations.
2022-01-19T12:20:00Z,noreply@blogger.com (Unknown),Blogspot.com,Tesla investors urge judge to order Musk repay $13 bln for SolarCity deal,"<table><tr><td></td></tr><tr><td>REUTERS/Mike Blake/File Photo</td></tr>
</table>Tesla Inc (TSLA.O) shareholders on Tuesday asked a judge  to find that Elon Musk forced the company's board of directors into a  deal for SolarCity in 2016 and wanted the CEO co…"
2021-12-30T09:32:00Z,noreply@blogger.com (Unknown),Blogspot.com,Elon Musk Sells Another $1 Billion in Tesla Shares to Prep for Largest Tax Bill in History,"Patrick Pleul | picture alliance | Getty ImagesAccording to financial documents released Tuesday, Tesla CEO Elon Musk sold 934,090 company shares valued at around $ 1.02 billion not to fund a McMansion on Mars.Musk said he is preparing to pay the biggest tax …"
2021-12-29T15:00:19Z,Roberto Baldwin,Engadget,Rivian’s R1T electric truck brings adventure to the EV crowd,"Announcing a vehicle is one thing, actually following through and building that vehicle at a factory and then selling it, that’s an almost impossible feat for a new company. But like Tesla before it, Rivian has pulled it off and in doing so has built one of t…"
2021-12-30T16:50:00Z,Mack DeGeurin,Gizmodo.com,"Tesla Recalls 475,000 Vehicles Due to Camera and Front Trunk Issues","Tesla is facing its second major U.S. recall in as many months. The EV maker was forced to recall 356,309 Model 3 sedans and 119,009 Model S vehicles this week over potentially dangerous functionality issues with the vehicles’ rearview camera and the front ho…"
2022-01-05T17:24:50Z,,CNN,See Chevrolet's all-electric Silverado EV,"The Chevrolet Silverado EV can go 400 miles on a full charge. It enters a crowded market for electric trucks with competition from Ford, Rivian, and Tesla."
2022-01-14T14:31:00Z,noreply@blogger.com (Unknown),Blogspot.com,Teen hacker finds bug that lets him control 25+ Teslas remotely,"<table><tr><td></td></tr>
</table>The downside with offering APIs to interact with a car is that someone else's security problem might become your own.
<table><tr><td>Getty Images
</td></tr>
</table>A young hacker and computer security researcher has foun…"
2022-01-05T17:15:00Z,Andrew J. Hawkins,The Verge,General Motors announces electric versions of the Chevy Equinox and Blazer SUVs,"GM announced it will produce electric versions of the Chevy Equinox and Blazer SUVs by 2023. The Equinox EV will sell for $30,000."
2021-12-28T13:53:00Z,,Reuters,"Apple, LiveOne, Tesla - Reuters","The S&P 500 was on track to open at all-time highs on Tuesday, building on a record-setting rally amid thin trading volumes, with investors unshaken by Omicron-driven travel disruptions and store closures."
