 published_at , author ,source_name,title ,description
2022-01-08T12:00:00Z,Aarian Marshall,Wired,You May Be Able to Own a Self-Driving Car After All,"For years, automakers focused on using autonomous technology for “robotaxis,” akin to a shared Uber. A GM announcement this week shows that’s changing."
2022-01-11T01:27:18Z,Mitchell Clark,The Verge,"Super Pumped gets a new, longer teaser with more Uber shenanigans","There’s a new teaser trailer for Showtime’s Super Pumped: The Battle for Uber, the first season of which will cover the ride-sharing company and its former CEO Travis Kalanick, played by Joseph Gordon-Levitt."
2022-01-19T02:58:34Z,Bryan Menegus,Engadget,Lyft is spending millions to stop its Massachusetts drivers from becoming employees,"Lyft has already splashed out $14.4 million towards a likely November ballot measure in Massachusetts which would cement its drivers as contractors, rather than employees — and the vast majority of those funds were paid in a single, $13 million donation, the …"
2022-01-13T22:50:24Z,Zacks Equity Research,Zacks.com,Uber Technologies (UBER) Stock Moves -0.39%: What You Should Know,"Uber Technologies (UBER) closed at $42.87 in the latest trading session, marking a -0.39% move from the prior day."
2021-12-29T19:30:00Z,Mack DeGeurin,Gizmodo.com,"Taxi Medallion Loan Shark Duped Investors by Planting 'Illegal' Positive News Stories, SEC Says","It’s no secret at this point that Uber and Lyft’s arrival to the ride-hailing scene in the early 2010s dealt a huge blow to the traditional cab industry, but charges filed this week by the Securities and Exchange Commission (SEC) show just how far one firm, N…"
2022-01-06T22:07:00Z,,Reuters,"Instacart, Uber's Cornershop settle dispute over data scraping - Reuters","Grocery-delivery service Instacart and its Uber-owned rival Cornershop have settled claims that Cornershop unlawfully scraped data and misused images from Instacart's platform, according to a Thursday filing in California federal court."
2022-01-06T21:54:55Z,johostetler@gmail.com (Joseph Hostetler),Business Insider,Amex Platinum Uber credits are useful for more than just rides and food delivery — I've been redeeming mine to get free diapers,"Thanks to my Amex Platinum cards and Uber Eats, I'll receive $1,500+ in Pampers over the next few years — but you can order lots of other items, too."
2022-01-04T14:29:00Z,,Reuters,Cabify risks losing fleet supremacy to Uber in home base Madrid - Reuters,"The ride-hailing app Cabify, one of Spain's few 'unicorn' tech startups, risks losing ground to foreign rivals such as Uber <a href=""https://www.reuters.com/companies/UBER.N"" target=""_blank"">(UBER.N)</a> or Bolt in its home base Madrid due to a row over exclu…"
2022-01-11T06:00:00Z,,Reuters,Uber rival Bolt raises $711 mln at valuation of over $8 bln - Reuters,"Estonian startup Bolt said on Tuesday it had raised 628 million euros ($711.40 million) from investors led by Sequoia Capital and Fidelity Management and Research Co, taking its valuation to 7.4 billion euros ($8.38 billion)."
2021-12-31T19:00:00Z,Lydia Belanger,Entrepreneur,How Uber and Lyft Get Drivers on the Road on Busy Nights Like New Year's,"Because they can't assign shifts to workers, ride-hailing companies use a variety of incentives to lure out their contract workers."
2022-01-24T15:11:00Z,,Reuters,India's Delhi government proposes making 25% of new cab registrations electric - Reuters,"The Delhi city state government has proposed mandating a quarter of new cab registrations to be electric vehicles, according to a draft note by its transport department."
2022-01-06T17:39:33Z,sdolan@businessinsider.com (Shelagh Dolan),Business Insider,Crowdsourced delivery explained: making same day shipping cheaper through local couriers,"Does the Uber crowdsourcing model work for package deliveries? As ecommerce shopping grows, etailers are fighting to figure out a way to offer same day shipping at low prices. Business Insider explain what crowdsourced delivery is, why its growing and the fut…"
2022-01-11T14:51:00Z,Hemant Taneja,Entrepreneur,"The Era of Blitzscaling Is Over. As a VC, My Money Is On 'Responsible Growth.'","Hypergrowth damages companies, people, and the planet. The businesses I'm betting on now are ""earning the right to be around for decades."""
2022-01-17T11:09:03Z,Tristan Cross,The Guardian,You know modern life is hard when even adverts don’t try to persuade you otherwise | Tristan Cross,"People are tired and overworked, and retirement may never come. Do companies like Uber Eats have to remind us of this?A potent memory from one of the more unedifying periods of my life: regularly working late enough to find myself too exhausted or disinclined…"
2021-12-26T16:00:06Z,Vanessa Barbara,New York Times,I Took Ketamine for My Depression. Things Got Pretty Weird.,"I became an elephant, an octopus, a balloon. I grew giant hands. But I couldn’t shake my sadness."
2022-01-24T00:22:38Z,"Michael Wilson, Chelsia Rose Marcius and Nate Schweber",New York Times,A Grim January Leaves Some New Yorkers Fearful for the City’s Future,"New York is far safer and stronger than in the ’70s. But after a flood of sad news, many people are struggling to find grounds for optimism."
2022-01-20T23:47:13Z,Adam Liptak,New York Times,Supreme Court Refuses to Require Prompt Action on Texas Abortion Law,"In dissent, the three liberal justices said the majority, by allowing a time-consuming legal detour, had created “a disaster for the rule of law.”"
2022-01-24T00:22:38Z,"Michael Wilson, Chelsia Rose Marcius and Nate Schweber",New York Times,A Grim January Leaves Some New Yorkers Fearful for the City’s Future,"New York is far safer and stronger than in the ’70s. But after a flood of sad news, many people are struggling to find grounds for optimism."
2022-01-18T19:32:32Z,Associated Press,The Guardian,Tesla driver charged with vehicular manslaughter over fatal Autopilot crash,"Misuse of Autopilot, which can control steering, speed and braking, is the subject of investigations by two federal agenciesCalifornia prosecutors have filed two counts of vehicular manslaughter against the driver of a Tesla on Autopilot who ran a red light, …"
2022-01-10T20:15:26Z,Parker Ortolani,9to5Mac,Uber parks its Apple Watch app in the ever-growing junk yard,"We can officially add Uber to the long list of major brands that have abandoned their Apple Watch apps. The ride-sharing company has quietly discontinued its watchOS app, displaying a brief message to users who try to launch it. Uber joins Twitter, Instagram,…"
