 published_at , author ,source_name,title ,description
2022-01-14T12:54:07Z,Manisha Chatterjee,StockNews.com,"Down Nearly 40% in the Past 3 Months, is Now a Good Time to Scoop Up Shares of Zoom Video Communications?","Despite the shares of Zoom Video Communications’ (ZM) having plunged nearly 40% in price over the past three months, the company has been making consistent product and services improvements. So,..."
2022-01-21T16:37:00Z,Zacks Equity Research,Zacks.com,Microsoft (MSFT) to Report Q2 Earnings: What's in the Cards?,Microsoft's (MSFT) fiscal second-quarter 2022 results are likely to reflect benefits from Azure cloud business and Teams app amid weakening demand for PCs.
2022-01-19T14:33:00Z,Jon Swartz,MarketWatch,": Zoom is returning to the office, but most workers aren’t coming back","Only 2% of Zoom’s workforce go to an office every day, while rest of videoconferencing company’s staff are expected to work remotely full- or part-time"
2021-12-29T17:26:00Z,Mark DeCambre,MarketWatch,"Market Extra: As Cathie Wood’s funds struggle, head of anti-Ark ETF says he’s surprised his fund—up 8% in December—isn’t drawing more flows",Matthew Tuttle is a bit surprised that an anti-Cathie Wood ETF that was launched back in mid November hasn't drawn more inflows.
2022-01-09T23:30:00Z,himasoku123,Himasoku.com,両親「なんでアンタ結婚する気ないの」ワイ（お前らがいつも喧嘩してるのをずっと見てきたからだよ）,"1: 風吹けば名無し 2022/01/08(土) 05:11:44.38 ID:meHJTBKLd
 反面教師や 






2: 風吹けば名無し 2022/01/08(土) 05:12:09.62 ID:pQpT7r/zM
 わかる 
5: 風吹けば名無し 2022/01/08(土) 05:12:38.25 ID:L5tiuEkr0
 子供生まなきゃ大丈夫やで 
7: 風吹けば名無し ..."
2022-01-13T01:24:49Z,Eric Lim,Seeking Alpha,Zoom: Zooming Past Recent Hurdles,"I believe that there will continue to be a demand for digital communication, and Zoom's platform strategy is well-positioned in the market. Read on to know I'm Bullish on ZM."
2022-01-11T17:57:05Z,SA Transcripts,Seeking Alpha,"Zoom Video Communications, Inc. (ZM) Management Presents at 24th Annual Needham Growth Conference (Transcript)","Zoom Video Communications, Inc. (NASDAQ:ZM) 24th Annual Needham Growth Conference Call January 11, 2022 9:00 AM ETCompany ParticipantsKelly Steckelberg - Chief Financial OfficerConference..."
2022-01-05T02:41:00Z,Jon Swartz,MarketWatch,: CES 2022 is about to officially start — without tech’s biggest names,"Without most of its high-wattage stars and facing escalating criticism for its decision to press on despite a record surge in COVID cases, CES 2022 officially starts Wednesday."
2022-01-21T19:16:00Z,Tomi Kilgore,MarketWatch,": The bullish work-from-home stock trend has ended, according to the ‘death cross’ in the WFH ETF","Steep declines in the shares of Netflix Inc. and Peloton Interactive Inc. this week highlighted how far many former pandemic beneficiaries have fallen in recent months, even as COVID-19-related hospitalizations keep rising to daily records and daily deaths to…"
2022-01-03T20:13:00Z,Charles Passy,MarketWatch,The Margin: Where is the market headed in 2022? Here’s what two professional mind readers say,"Veteran mentalists Oz Pearlman and Alex Voz, who once worked in financial services, gave MarketWatch their predictions"
