"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ccbcrn11: @MRSM1TH888 @ODPFaye show me what reputable@medical journal has proven that vaxxed do not transmit - as they clearly acquire…",FALSE,0,NA,2022-01-27 01:55:09,FALSE,NA,"1486518108776976395",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","strainjar_",2,TRUE,FALSE,NA,NA
"RT @HxHShots: Please don't cry Killua <U+0001F97A> https://t.co/qyds73ocGb",FALSE,0,NA,2022-01-27 01:55:09,FALSE,NA,"1486518108550762496",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","yokwenlegen",1653,TRUE,FALSE,NA,NA
"RT @stephen_taylor: Watching Justin Trudeau in Ottawa today, I really don't know what this government even stands for.

It certainly doesn'…",FALSE,0,NA,2022-01-27 01:55:09,FALSE,NA,"1486518108504399878",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jacquelynmarr",228,TRUE,FALSE,NA,NA
"RT @waaydamin: can’t save me for later, i won’t be there. <U+270C><U+0001F3FD>",FALSE,0,NA,2022-01-27 01:55:09,FALSE,NA,"1486518108424744964",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TooReal_drew",1140,TRUE,FALSE,NA,NA
"RT @isaiahsgrave: i don't flirt, talking shit is my love language",FALSE,0,NA,2022-01-27 01:55:09,FALSE,NA,"1486518108420554757",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","tonyflexOnEm",16348,TRUE,FALSE,NA,NA
"RT @RodriguezFruit: Maybe you don’t write today. Maybe you just read instead. Or rest. Or recreate. Those are also great for writers.",FALSE,0,NA,2022-01-27 01:55:09,FALSE,NA,"1486518108420550668",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Temprest_M",31,TRUE,FALSE,NA,NA
"u can't force anything",FALSE,0,NA,2022-01-27 01:55:09,FALSE,NA,"1486518108366196739",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","cabreracyrrill",0,FALSE,FALSE,NA,NA
"RT @kirdpanly: honestly can’t wait for all these to drop!! https://t.co/M7X2XcWFYb",FALSE,0,NA,2022-01-27 01:55:09,FALSE,NA,"1486518108340690949",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","PPORPPAN",230,TRUE,FALSE,NA,NA
"RT @Heauxno1currr: It’s literally so simple to scroll past a tweet you don’t like or agree with. 

So simple.",FALSE,0,NA,2022-01-27 01:55:09,FALSE,NA,"1486518108332474370",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","kithadon",75,TRUE,FALSE,NA,NA
"@kaerick @JuddLegum I grew up in a heavily Jewish part of the country, NY suburbs. I never encountered true Holocau… https://t.co/mCiDH6Qes5",FALSE,0,"kaerick",2022-01-27 01:55:09,TRUE,"1486504798564270083","1486518108277858310","30096475","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","myastralform",0,FALSE,FALSE,NA,NA
